,PL,TML,RMSE,PSNR,SSIM,,,,,,
0,0.124676973,13.07612514,0.017938739,34.92416143,0.957186759,,0.1404,13.0195,0.0229,33.0407,0.923
1,0.123858571,13.05380821,0.016831057,35.47777176,0.959845424,,0.0167,0.8481,0.0057,1.8822,0.0254
2,0.116288058,12.49294472,0.016498495,35.6511116,0.961761177,,,,,,
3,0.115691356,12.7942028,0.016745593,35.52198648,0.961169064,,,,,,
4,0.111941688,12.15853119,0.015768226,36.04434252,0.964412868,,,,,,
5,0.111104228,11.73277473,0.01541013,36.24387264,0.965214312,,,,,,
6,0.117380068,12.50086403,0.015861949,35.99286795,0.962965667,,,,,,
7,0.127080113,13.40405941,0.015548594,36.16617441,0.962145627,,,,,,
8,0.129206121,13.41047478,0.015767898,36.04452133,0.95865941,,,,,,
9,0.130620569,13.2646246,0.016367495,35.72035313,0.952182412,,,,,,
10,0.131572992,13.26192284,0.016174493,35.82338572,0.94855088,,,,,,
11,0.137372226,13.89488602,0.016892754,35.44599056,0.94509095,,,,,,
12,0.141054928,13.7543602,0.018450998,34.67960119,0.938677788,,,,,,
13,0.147557318,14.02807426,0.018970562,34.4383955,0.936396182,,,,,,
14,0.151965499,14.27506638,0.02050576,33.76248121,0.928073764,,,,,,
15,0.153558642,13.93755341,0.023305556,32.65080929,0.916357398,,,,,,
16,0.155119598,13.69383526,0.024065269,32.3721838,0.910431623,,,,,,
17,0.157793447,13.76627541,0.02541396,31.89855099,0.902854085,,,,,,
18,0.16724211,14.00464439,0.028144183,31.01222754,0.89176774,,,,,,
19,0.159242511,13.12745857,0.028517647,30.89772701,0.886321008,,,,,,
20,0.163053229,13.45384598,0.030231629,30.39076805,0.878117263,,,,,,
21,0.160580456,12.52622414,0.033481814,29.50381994,0.869110525,,,,,,
22,0.160532922,12.21229935,0.033012599,29.62640524,0.866400003,,,,,,
23,0.165890619,12.50209427,0.034609687,29.21604633,0.86233902,,,,,,
24,0.172754735,12.8272953,0.037658401,28.48276138,0.854808033,,,,,,
25,0.171555206,12.99458122,0.036386259,28.78125191,0.856826067,,,,,,
26,0.177849323,13.91011238,0.037113022,28.60947371,0.856115222,,,,,,
27,0.182839528,14.20565033,0.03966644,28.03153515,0.849250913,,,,,,
28,0.186527684,14.68984795,0.038096581,28.38227987,0.854557991,,,,,,
29,0.183179349,14.33838463,0.038877726,28.20598364,0.853504479,,,,,,
30,0.182002395,14.11832047,0.041184578,27.70530701,0.848415136,,,,,,
31,0.183539003,14.20653439,0.038980905,28.18296194,0.855745912,,,,,,
32,0.185138032,14.39937782,0.038853187,28.21146727,0.856848717,,,,,,
33,0.18709667,14.93128014,0.040519625,27.84669161,0.854412735,,,,,,
34,0.181694865,14.36830711,0.037505873,28.51801395,0.863513649,,,,,,
35,0.179500997,14.28676796,0.037227061,28.58282566,0.864781559,,,,,,
36,0.18077445,14.22310066,0.038929723,28.19437265,0.861193776,,,,,,
37,0.180030078,14.60805225,0.035967153,28.88187885,0.868974268,,,,,,
38,0.171774611,13.62774754,0.034846172,29.15689707,0.873473525,,,,,,
39,0.171280682,13.13727665,0.035207871,29.067204,0.874074936,,,,,,
40,0.169329271,13.439394,0.032448184,29.77619171,0.882780075,,,,,,
41,0.176801264,14.45547009,0.031639617,29.99537468,0.88316232,,,,,,
42,0.173074514,13.89638519,0.032719225,29.70393896,0.881672144,,,,,,
