,PL,TML,RMSE,PSNR,SSIM,,,,,,
0,0.120418683,12.05975056,0.019875301,34.03372526,0.94064486,,0.1401,11.9858,0.0259,31.9465,0.8963
1,0.116954163,11.60828018,0.018575966,34.6209693,0.944528699,,0.0241,1.5679,0.0063,1.8983,0.0332
2,0.116459228,11.5844326,0.018286562,34.75735903,0.943358123,,,,,,
3,0.114340082,11.84656334,0.018857729,34.49021101,0.947084963,,,,,,
4,0.109205008,11.11129761,0.017259318,35.25952578,0.948689342,,,,,,
5,0.109522171,10.70569038,0.017025698,35.3779006,0.94992137,,,,,,
6,0.111932278,11.03099632,0.017656906,35.0617075,0.947878122,,,,,,
7,0.119947314,11.83440399,0.017204763,35.28702497,0.948352575,,,,,,
8,0.115488186,11.12814331,0.017517254,35.13067722,0.944676161,,,,,,
9,0.118520483,11.05330086,0.018288987,34.75620747,0.934850276,,,,,,
10,0.12266814,11.48479843,0.018117251,34.83815193,0.932483435,,,,,,
11,0.127701983,11.92072868,0.019117227,34.37150002,0.925086677,,,,,,
12,0.135477513,12.54780388,0.020916233,33.59033108,0.919984341,,,,,,
13,0.140646994,12.5083828,0.021377144,33.40100527,0.912412405,,,,,,
14,0.144444227,12.87826157,0.02345101,32.59676695,0.903028488,,,,,,
15,0.16036728,14.36576557,0.026616074,31.49711847,0.884841859,,,,,,
16,0.161743104,14.05119133,0.027463885,31.22476101,0.880064666,,,,,,
17,0.168894947,14.26965809,0.02913337,30.71218491,0.870072365,,,,,,
18,0.183159709,15.76847744,0.031897977,29.92473602,0.854806662,,,,,,
19,0.17873396,14.92030144,0.032690585,29.71154451,0.843714833,,,,,,
20,0.179520905,15.09974575,0.034109071,29.3426013,0.838781536,,,,,,
21,0.17844519,14.18979359,0.037084688,28.61610651,0.821776927,,,,,,
22,0.179689273,14.10648727,0.036688611,28.70937347,0.822940707,,,,,,
23,0.185614288,14.37734127,0.038123265,28.37619781,0.818854153,,,,,,
24,0.193900764,15.0443325,0.041088939,27.72550106,0.808995605,,,,,,
25,0.191333473,15.14284515,0.039980117,27.96311855,0.814789116,,,,,,
26,0.196098581,15.62437248,0.040686097,27.81107903,0.810340941,,,,,,
27,0.202431262,15.96945477,0.043476015,27.2350049,0.804988146,,,,,,
28,0.19578892,15.10407352,0.042125598,27.50907898,0.809350669,,,,,,
29,0.195848852,15.25531292,0.042886361,27.35361576,0.80793184,,,,,,
30,0.200915471,15.7865715,0.045046616,26.92675591,0.800863743,,,,,,
31,0.200502321,15.92646313,0.04315136,27.30010986,0.805730879,,,,,,
32,0.202142328,15.92811298,0.043089323,27.31260777,0.812047124,,,,,,
33,0.205445766,16.39451218,0.044954445,26.9445467,0.811865807,,,,,,
34,0.200957462,15.86204433,0.042440876,27.44431257,0.820142746,,,,,,
35,0.194710642,15.18273544,0.042095799,27.51522541,0.821917892,,,,,,
36,0.198664337,15.87146378,0.043321665,27.2658968,0.818350732,,,,,,
37,0.201675698,16.17163277,0.040931989,27.75874138,0.82665658,,,,,,
38,0.188532352,14.84007359,0.03967141,28.03044796,0.830638528,,,,,,
39,0.191138819,14.83560753,0.040232033,27.90856123,0.830091476,,,,,,
40,0.186985731,14.50357151,0.037216038,28.5853982,0.841452241,,,,,,
41,0.187243909,14.57756424,0.036798913,28.68330002,0.841412604,,,,,,
42,0.188997984,15.21174145,0.03753908,28.51032734,0.838195324,,,,,,
43,0.186669186,15.27191734,0.03601386,28.87060642,0.848670244,,,,,,
44,0.182889909,15.01743317,0.035224587,29.06308174,0.853895545,,,,,,
