,PL,TML,RMSE,PSNR,SSIM,,,,,,
0,0.119224384,11.14423275,0.022234717,33.05936575,0.941369414,,0.1339,10.6218,0.0286,31.064,0.8964
1,0.112253308,10.73927212,0.020748859,33.66011381,0.945625782,,0.024,1.556,0.0067,1.8146,0.0356
2,0.112019837,10.70506382,0.020763312,33.65406513,0.947181165,,,,,,
3,0.111577451,11.02422142,0.021149376,33.49404812,0.946481586,,,,,,
4,0.104486808,10.2361002,0.019651849,34.13193226,0.951734662,,,,,,
5,0.109539419,10.19342041,0.019444855,34.22390461,0.953018069,,,,,,
6,0.113387056,10.55305386,0.019942433,34.00443554,0.951025844,,,,,,
7,0.111675911,10.56969833,0.019486481,34.20532942,0.94970274,,,,,,
8,0.111059599,10.23414993,0.019812878,34.06104803,0.944514513,,,,,,
9,0.116994336,10.34248734,0.020786451,33.64439249,0.935334384,,,,,,
10,0.119313568,10.63695717,0.020444084,33.78864527,0.931631327,,,,,,
11,0.124934673,11.07958126,0.021417757,33.38451862,0.92663306,,,,,,
12,0.12989828,11.2484026,0.023636481,32.5283432,0.915497422,,,,,,
13,0.133165002,11.23056602,0.024177359,32.33182192,0.911339879,,,,,,
14,0.143546328,11.83108711,0.026053233,31.68276548,0.899668217,,,,,,
15,0.155385584,12.92074203,0.029521871,30.59712172,0.883511186,,,,,,
16,0.153176993,12.2586441,0.030590734,30.28820276,0.874688089,,,,,,
17,0.167143196,13.10759354,0.03221342,29.83926296,0.864320755,,,,,,
18,0.175337225,14.00502872,0.035189301,29.0717864,0.846901238,,,,,,
19,0.170876354,13.22970295,0.035709172,28.94440413,0.841216803,,,,,,
20,0.170511007,13.23273754,0.037566856,28.50390196,0.831397235,,,,,,
21,0.171933576,12.80170059,0.040441405,27.86347628,0.819660604,,,,,,
22,0.175636083,12.90674877,0.040181693,27.9194355,0.815179169,,,,,,
23,0.178143173,12.99138832,0.04133822,27.67296314,0.811756968,,,,,,
24,0.184012011,13.58263016,0.0443996,27.05241919,0.803063631,,,,,,
25,0.187366515,14.04384613,0.043065619,27.31738567,0.807680488,,,,,,
26,0.191841498,14.35891342,0.043897819,27.15114117,0.805234194,,,,,,
27,0.190300301,14.21034813,0.046625681,26.62749529,0.797657847,,,,,,
28,0.189951062,13.99219131,0.045245733,26.88844681,0.804520011,,,,,,
29,0.189373374,13.86554527,0.046226919,26.70210123,0.801490903,,,,,,
30,0.192932814,14.39711571,0.048197567,26.33949757,0.798073173,,,,,,
31,0.197815567,14.66091537,0.046801902,26.59472942,0.8032552,,,,,,
32,0.196495757,14.71918011,0.046879698,26.5803051,0.805672944,,,,,,
33,0.205584735,15.71175385,0.048391432,26.30463123,0.805253029,,,,,,
34,0.195303962,14.68694115,0.045603823,26.81997538,0.817056179,,,,,,
35,0.192441151,14.45419884,0.045452151,26.84890985,0.818178236,,,,,,
36,0.196071237,14.8025589,0.04755833,26.45546913,0.8110286,,,,,,
37,0.189917997,14.35249138,0.044337634,27.06454992,0.822277725,,,,,,
38,0.185018122,13.56537819,0.04299219,27.33220816,0.828338385,,,,,,
39,0.185811266,13.81698799,0.043599058,27.21045732,0.825245857,,,,,,
40,0.177475378,12.84844589,0.040610425,27.82724857,0.838309467,,,,,,
41,0.17911607,13.48521614,0.040031336,27.95199871,0.836789787,,,,,,
42,0.178981453,13.44682503,0.0411507,27.7124548,0.836525202,,,,,,
43,0.178571701,13.4827404,0.039360996,28.09867859,0.845674038,,,,,,
44,0.175933495,13.61385536,0.039191905,28.13607216,0.85063839,,,,,,
45,0.176716954,13.44421387,0.040787574,27.78944254,0.847700953,,,,,,
46,0.172959238,13.29526138,0.038532417,28.28347445,0.856688797,,,,,,
47,0.164534315,12.35762119,0.037471708,28.52592945,0.861734092,,,,,,
48,0.165185884,12.94859695,0.038138185,28.37280035,0.858780384,,,,,,
49,0.164917171,12.66932201,0.035906188,28.89661312,0.865837812,,,,,,
50,0.159908473,11.93759155,0.035706982,28.9449358,0.865012527,,,,,,
51,0.162255555,11.99399853,0.036686588,28.7098527,0.858963907,,,,,,
52,0.160351902,12.25099468,0.034943666,29.13263083,0.865931988,,,,,,
53,0.158426389,12.14845085,0.034464985,29.25243855,0.865098834,,,,,,
54,0.159457773,12.10120201,0.036166467,28.83387804,0.859594643,,,,,,
55,0.154783353,11.48079681,0.034324717,29.28786039,0.86238718,,,,,,
56,0.157552958,11.62177277,0.03390922,29.39364433,0.86482048,,,,,,
57,0.158350289,11.6723423,0.034563038,29.22776222,0.864286423,,,,,,
58,0.151662037,11.25889492,0.032847546,29.66994047,0.871071935,,,,,,
59,0.152872503,11.67065239,0.032493856,29.76397514,0.871985435,,,,,,
60,0.1512108,11.44589615,0.033498716,29.49943781,0.869080782,,,,,,
61,0.150338739,11.39199257,0.032192938,29.84478712,0.873274982,,,,,,
62,0.148294508,11.27171326,0.031815547,29.94721174,0.87264353,,,,,,
63,0.149426222,11.34979057,0.032783579,29.68687296,0.868426502,,,,,,
64,0.142051533,10.7241478,0.030777453,30.23534536,0.876822054,,,,,,
65,0.144903839,11.20481586,0.030394305,30.34415483,0.877664506,,,,,,
66,0.142617092,11.09527779,0.030928701,30.19276619,0.87516439,,,,,,
67,0.136343166,10.7310791,0.029125743,30.71445942,0.882581949,,,,,,
68,0.140173227,11.19385719,0.028778536,30.8186245,0.883499563,,,,,,
69,0.133899748,10.36496353,0.029633135,30.56444883,0.879437506,,,,,,
70,0.133770436,10.45667362,0.02762373,31.17435217,0.887355626,,,,,,
71,0.131425798,10.16426659,0.027311981,31.27293587,0.888676882,,,,,,
72,0.136018157,10.5796566,0.028316688,30.95915079,0.883246541,,,,,,
73,0.132000506,9.620542526,0.027308639,31.27399921,0.886293709,,,,,,
74,0.131151959,9.365976334,0.026866462,31.41578913,0.884346426,,,,,,
75,0.129829213,9.118225098,0.027968405,31.06664419,0.881248474,,,,,,
76,0.123053692,8.628759384,0.02660742,31.49994373,0.887900651,,,,,,
77,0.124986902,9.185274124,0.026477722,31.54238701,0.89118582,,,,,,
78,0.124625452,9.34258461,0.027109317,31.33762836,0.890060067,,,,,,
79,0.123291142,9.386634827,0.025774471,31.77620411,0.8993119,,,,,,
80,0.118630342,9.14043045,0.025197221,31.97294712,0.903995395,,,,,,
81,0.118275478,9.321094513,0.025644142,31.82023525,0.904487312,,,,,,
82,0.116152793,9.050958633,0.024402617,32.2512722,0.911576271,,,,,,
83,0.116601482,9.182449341,0.024220021,32.31650829,0.912760973,,,,,,
84,0.11832267,9.451933861,0.02461165,32.17718363,0.913537264,,,,,,
85,0.117959514,9.40308094,0.023781892,32.47507095,0.917889655,,,,,,
86,0.116687074,9.426767349,0.023620196,32.53432989,0.91906786,,,,,,
87,0.119326875,9.644515991,0.024425546,32.24311352,0.916251481,,,,,,
88,0.120024525,9.84495163,0.023521718,32.57061958,0.920136094,,,,,,
89,0.118509486,9.786319733,0.023475001,32.58788586,0.920971751,,,,,,
90,0.121157952,9.659738541,0.024769157,32.12177515,0.91648972,,,,,,
91,0.116509371,9.096487045,0.02407106,32.37009525,0.91893369,,,,,,
92,0.118860692,9.447535515,0.024227474,32.31383562,0.921460271,,,,,,
93,0.123593189,10.12039471,0.025321022,31.9303751,0.917553961,,,,,,
94,0.119235441,9.834377289,0.024376757,32.26047993,0.92005527,,,,,,
95,0.117850862,9.59678936,0.024177203,32.33187914,0.922579765,,,,,,
96,0.11540024,9.356014252,0.025483301,31.87488556,0.919547498,,,,,,
97,0.12275029,10.20884991,0.024683818,32.15175152,0.924061894,,,,,,
98,0.117491566,9.668647766,0.024630612,32.17049599,0.925334215,,,,,,
99,0.1176899,9.447908401,0.025512496,31.86493874,0.923652768,,,,,,
100,0.115553662,9.509317398,0.024698863,32.14646101,0.925941169,,,,,,
101,0.117207818,9.482563972,0.024971331,32.0511651,0.923656404,,,,,,
102,0.122625813,10.05622005,0.026245987,31.61874056,0.918871105,,,,,,
103,0.122015759,9.96733284,0.025476793,31.87710285,0.923067153,,,,,,
104,0.120747402,9.752701759,0.025830688,31.75727844,0.921620309,,,,,,
105,0.123029269,9.702569962,0.026953023,31.38784885,0.918162227,,,,,,
106,0.124042645,9.985586166,0.026125258,31.65878773,0.918450117,,,,,,
107,0.123601213,9.725063324,0.026516318,31.52973413,0.916349351,,,,,,
108,0.12431439,9.70037365,0.027580604,31.18792295,0.912592649,,,,,,
109,0.125821412,10.02664375,0.026646605,31.48716211,0.914409995,,,,,,
110,0.128921926,10.26047039,0.026851824,31.42052412,0.915004313,,,,,,
111,0.126441926,9.894023895,0.027867954,31.09789848,0.910829604,,,,,,
112,0.127247617,10.21664429,0.027280333,31.28300667,0.912086904,,,,,,
113,0.120496318,9.383597374,0.02721365,31.30426407,0.913509786,,,,,,
114,0.129442245,10.09027576,0.028297806,30.96494436,0.908566892,,,,,,
115,0.128497064,9.936450958,0.027418761,31.23904228,0.913408458,,,,,,
116,0.128440961,10.14506054,0.027857594,31.10112667,0.912659287,,,,,,
117,0.129454494,9.835560799,0.02864724,30.85834265,0.907770813,,,,,,
118,0.129051477,9.949634552,0.027371518,31.25402212,0.912042201,,,,,,
119,0.12619096,9.522547722,0.027352363,31.2601018,0.911296546,,,,,,
120,0.131888807,10.14751244,0.028781531,30.81772089,0.906828344,,,,,,
121,0.130361006,10.02871418,0.027446076,31.23039484,0.913088441,,,,,,
122,0.127964318,9.847084045,0.027474346,31.22145176,0.911259711,,,,,,
123,0.130087882,10.35691452,0.028842483,30.79934597,0.907053053,,,,,,
124,0.126816869,9.904364586,0.027796542,31.12018347,0.908588052,,,,,,
125,0.126986057,9.919063568,0.027642831,31.16834879,0.910002649,,,,,,
126,0.130887136,10.31895733,0.028510088,30.90002775,0.908208489,,,,,,
