,PL,TML,RMSE,PSNR,SSIM,,,,,,
0,0.120123811,11.82810307,0.021481175,33.35883856,0.944718599,,0.1341,10.9272,0.0285,31.1215,0.8952
1,0.113633826,11.02019501,0.020231044,33.87963295,0.948612511,,0.023,1.3019,0.007,1.9019,0.0383
2,0.114040323,11.17737579,0.020011179,33.974545,0.950821161,,,,,,
3,0.113870241,11.49843979,0.020457856,33.78279686,0.948276579,,,,,,
4,0.105098747,10.47904015,0.018787222,34.52274799,0.955009103,,,,,,
5,0.107321933,10.39144897,0.018773865,34.52892542,0.955429435,,,,,,
6,0.110082231,10.6187706,0.019456366,34.21876431,0.953224719,,,,,,
7,0.113354646,11.02099991,0.018791873,34.52059746,0.95287478,,,,,,
8,0.112138361,10.59467316,0.019283928,34.29608822,0.94636929,,,,,,
9,0.11349158,10.35910225,0.020044452,33.96011591,0.93769753,,,,,,
10,0.116031013,10.67969894,0.019862976,34.03911352,0.934829056,,,,,,
11,0.121518791,11.06221962,0.021011941,33.55067492,0.929239929,,,,,,
12,0.129646331,11.55360222,0.022916218,32.79714108,0.917658687,,,,,,
13,0.132589579,11.32577515,0.023392741,32.61837721,0.915012002,,,,,,
14,0.137546659,11.94196796,0.025366127,31.91491604,0.901536763,,,,,,
15,0.15246664,13.03060913,0.028971424,30.76060295,0.88374114,,,,,,
16,0.153384417,12.48651505,0.03014103,30.41683674,0.874287009,,,,,,
17,0.160025567,12.70648003,0.031938598,29.91368294,0.862515807,,,,,,
18,0.173393965,13.96234798,0.034845512,29.15706158,0.847417951,,,,,,
19,0.169978172,13.48908901,0.035755958,28.93303156,0.83970964,,,,,,
20,0.168792188,13.22927666,0.03738571,28.54588747,0.827476263,,,,,,
21,0.169984415,12.4282999,0.040725272,27.80272007,0.816016078,,,,,,
22,0.171792716,12.4699192,0.040149141,27.92647362,0.813932896,,,,,,
23,0.17784822,12.91220284,0.041500989,27.63883114,0.807435393,,,,,,
24,0.180211246,13.00360298,0.045025874,26.93075657,0.7947312,,,,,,
25,0.184197873,13.57116699,0.043719251,27.18654633,0.797105968,,,,,,
26,0.188301668,14.00096035,0.044589616,27.01532602,0.800168395,,,,,,
27,0.194695443,14.16876507,0.047694385,26.43065453,0.789393127,,,,,,
28,0.18845138,13.43115711,0.046182215,26.71050549,0.793361783,,,,,,
29,0.189426571,13.90415764,0.047247205,26.5124774,0.795409143,,,,,,
30,0.194314778,14.33566952,0.049430333,26.12012863,0.787311971,,,,,,
31,0.19216314,14.19754601,0.04754388,26.45810843,0.797317564,,,,,,
32,0.196085095,14.4985981,0.047529444,26.46074533,0.798407674,,,,,,
33,0.195231855,14.47041702,0.049545079,26.09998941,0.79350853,,,,,,
34,0.194214702,14.00789928,0.046657454,26.62158012,0.806193233,,,,,,
35,0.188130349,13.53236389,0.04645602,26.65915966,0.805170894,,,,,,
36,0.191767246,14.20541286,0.047750134,26.42050743,0.804368019,,,,,,
37,0.190818891,14.22613525,0.044889394,26.95712566,0.815094948,,,,,,
38,0.181520745,13.39256477,0.043705113,27.1893549,0.819921732,,,,,,
39,0.185060456,13.50221062,0.044376608,27.05691814,0.816902876,,,,,,
40,0.177037776,12.77220917,0.04112656,27.71755219,0.82648772,,,,,,
41,0.181069762,13.3736763,0.040406868,27.87089586,0.828042686,,,,,,
42,0.18025589,13.68436432,0.041298427,27.68132925,0.830703974,,,,,,
43,0.180659026,14.02692509,0.039643027,28.03666353,0.839933515,,,,,,
44,0.173177093,13.39621544,0.038797133,28.22400808,0.847719908,,,,,,
45,0.172044381,13.00789738,0.040970735,27.75052547,0.842263341,,,,,,
46,0.171906158,13.39896584,0.038541161,28.28150272,0.854819357,,,,,,
47,0.161068499,12.53302574,0.037394274,28.54389668,0.857586622,,,,,,
48,0.162127748,12.34992409,0.038564861,28.27616453,0.851856232,,,,,,
49,0.161629811,12.42821121,0.036305465,28.80055904,0.857524872,,,,,,
50,0.159451813,12.00422287,0.036223702,28.82014275,0.859202981,,,,,,
51,0.160985976,12.26073265,0.036875866,28.66515398,0.852700531,,,,,,
52,0.158688396,12.22837925,0.034686401,29.19681549,0.863381803,,,,,,
53,0.155004665,12.11739254,0.034200124,29.31944609,0.862355828,,,,,,
54,0.158981442,11.87829304,0.036145728,28.8388586,0.854011416,,,,,,
55,0.155623049,11.81306076,0.034010302,29.36779022,0.858549178,,,,,,
56,0.155453324,11.66098404,0.03357799,29.4789052,0.861230195,,,,,,
57,0.155768424,11.74185181,0.034727547,29.18651581,0.856381238,,,,,,
58,0.152783543,11.42492485,0.03278327,29.68695402,0.865520954,,,,,,
59,0.150565267,11.51170921,0.032324605,29.80933428,0.869207203,,,,,,
60,0.151943877,11.79161644,0.0331797,29.58255053,0.867816687,,,,,,
61,0.145769268,11.17749214,0.031465203,30.0433898,0.871051252,,,,,,
62,0.149306446,11.75690079,0.031452861,30.0467968,0.868827224,,,,,,
63,0.146472394,11.36555481,0.032523941,29.75593567,0.865278721,,,,,,
64,0.14366965,11.36774158,0.030524595,30.30700207,0.874519765,,,,,,
65,0.144229606,11.41609478,0.030221056,30.39380789,0.877270877,,,,,,
66,0.141269892,11.18840027,0.03081985,30.22338867,0.874191403,,,,,,
67,0.129767299,10.43043327,0.028531035,30.89365005,0.883116305,,,,,,
68,0.133615449,10.58608437,0.02834481,30.95052719,0.882720113,,,,,,
69,0.134186774,10.49826813,0.02901466,30.74764967,0.87869525,,,,,,
70,0.132532075,10.6079998,0.027094446,31.34239435,0.88740015,,,,,,
71,0.129303873,10.0979948,0.026662247,31.48206472,0.886394143,,,,,,
72,0.131017566,10.2954092,0.027906327,31.08594656,0.881398022,,,,,,
73,0.126468971,9.425020218,0.026613059,31.49810314,0.884335041,,,,,,
74,0.128215462,9.453609467,0.026358256,31.58166647,0.881551802,,,,,,
75,0.127883866,9.351242065,0.027433354,31.23442173,0.880107105,,,,,,
76,0.12383768,9.104030609,0.026065394,31.67871237,0.890581548,,,,,,
77,0.123978004,9.480713844,0.026165185,31.64552212,0.891153216,,,,,,
78,0.124078438,9.446760178,0.026893053,31.40719652,0.89005965,,,,,,
79,0.120486408,9.559687614,0.025043195,32.02620506,0.901446044,,,,,,
80,0.116116434,9.245674133,0.024730681,32.13527679,0.904917061,,,,,,
81,0.118319601,9.410675049,0.025839873,31.75419331,0.903983116,,,,,,
82,0.117031485,9.206418037,0.024044735,32.37959862,0.913798869,,,,,,
83,0.117331877,9.363875389,0.023933306,32.41994381,0.913358688,,,,,,
84,0.118937902,9.838172913,0.024482148,32.22300768,0.914010465,,,,,,
85,0.117613465,9.691133499,0.023285404,32.65832424,0.919238746,,,,,,
86,0.117903098,9.733333588,0.023054393,32.74492502,0.920037985,,,,,,
87,0.119382925,9.89758873,0.024162592,32.33712912,0.916532338,,,,,,
88,0.122384235,10.34175301,0.023332737,32.64068604,0.919543266,,,,,,
89,0.116812274,9.898799896,0.02306539,32.74078369,0.921822011,,,,,,
90,0.121551335,9.927751541,0.024170876,32.33415127,0.917191505,,,,,,
91,0.11690928,9.672643661,0.023573773,32.55141735,0.921153307,,,,,,
92,0.119872048,9.921579361,0.023693038,32.5075841,0.922384739,,,,,,
93,0.122903809,10.33582497,0.024988737,32.04511404,0.918305099,,,,,,
94,0.12080913,10.30101776,0.023845429,32.45189667,0.921362519,,,,,,
95,0.11779844,9.899569511,0.023985809,32.40091085,0.922527313,,,,,,
96,0.118500613,9.969482422,0.025167126,31.98332787,0.920054555,,,,,,
97,0.120567143,10.52352428,0.023979755,32.40310431,0.926932991,,,,,,
98,0.117951095,10.02843952,0.024421221,32.24465132,0.9260934,,,,,,
99,0.118064977,10.0217762,0.025555992,31.85014486,0.923843741,,,,,,
100,0.117956035,10.06334305,0.024616618,32.17543125,0.926700711,,,,,,
101,0.118131794,9.798857689,0.02481694,32.10503578,0.924306571,,,,,,
102,0.121327728,10.23718357,0.025941566,31.72007561,0.920326293,,,,,,
103,0.114750013,9.548077583,0.025159612,31.98591948,0.922692537,,,,,,
104,0.124584988,10.58602142,0.025741706,31.78725243,0.921926796,,,,,,
105,0.124392837,10.31546593,0.026938284,31.39260054,0.917221248,,,,,,
