,PL,TML,RMSE,PSNR,SSIM,,,,,,
0,0.10305158,9.733695984,0.024420321,32.24497318,0.956549346,,0.1172,9.3012,0.0273,31.6445,0.9215
1,0.09667851,9.13674736,0.022525096,32.94666529,0.959732592,,0.0219,1.2724,0.009,2.3974,0.0282
2,0.095086724,9.041311264,0.022176504,33.08213711,0.960857511,,,,,,
3,0.097498477,9.60845089,0.022457538,32.97275543,0.960312188,,,,,,
4,0.09305872,9.192184448,0.022166945,33.08588266,0.964574695,,,,,,
5,0.094184481,8.950618744,0.023870595,32.44273424,0.965286136,,,,,,
6,0.093746386,8.789038658,0.02355141,32.55965948,0.963682413,,,,,,
7,0.100170895,9.560844421,0.020952951,33.57509613,0.962490857,,,,,,
8,0.098080687,9.107872009,0.021065712,33.52847576,0.958763123,,,,,,
9,0.101445481,8.971323013,0.022755001,32.85846233,0.951682448,,,,,,
10,0.101080194,8.856785774,0.023587257,32.54645109,0.948881924,,,,,,
11,0.104383484,9.084867477,0.025197716,31.97277546,0.944652975,,,,,,
12,0.114726827,9.773121834,0.027093248,31.34277821,0.936699808,,,,,,
13,0.117031157,9.787651062,0.027672218,31.15911961,0.933157444,,,,,,
14,0.1230122,10.03544807,0.030129714,30.4200983,0.923473537,,,,,,
15,0.134615794,10.94100571,0.035971411,28.88085127,0.910498321,,,,,,
16,0.13821575,11.10180283,0.038492411,28.2924962,0.903876722,,,,,,
17,0.146194175,11.31151485,0.040413436,27.86948442,0.896706879,,,,,,
18,0.15374282,11.98042774,0.043570239,27.21620083,0.885673225,,,,,,
19,0.151063859,11.40106583,0.044532023,27.02655077,0.879379332,,,,,,
20,0.15006426,11.38641644,0.045897767,26.76416874,0.871196151,,,,,,
21,0.153147206,11.08631229,0.048651949,26.25799417,0.862564921,,,,,,
22,0.152541429,10.82557869,0.048524279,26.28081799,0.858937263,,,,,,
23,0.164593577,11.67015839,0.049928788,26.03297949,0.85504508,,,,,,
24,0.164330408,11.66433907,0.052341424,25.62309027,0.84798336,,,,,,
25,0.165410608,11.97335434,0.051048834,25.84028244,0.849050283,,,,,,
26,0.169830918,12.35259247,0.05140885,25.77924252,0.848410308,,,,,,
27,0.174615964,12.66755199,0.053615462,25.41419983,0.842103779,,,,,,
28,0.173768088,12.5427742,0.051835079,25.70752382,0.84620297,,,,,,
29,0.173596144,12.42792892,0.051954161,25.68759441,0.84594214,,,,,,
30,0.177607387,12.76249123,0.052884184,25.53348303,0.841159105,,,,,,
31,0.177489787,12.73637104,0.050811306,25.88079214,0.847932875,,,,,,
32,0.177853912,12.74313641,0.050018165,26.01744413,0.848911643,,,,,,
33,0.176617354,12.8804388,0.051060542,25.83829165,0.846689284,,,,,,
34,0.16757226,12.05038929,0.048587032,26.26959324,0.854885995,,,,,,
35,0.169001177,12.26218319,0.048508916,26.28356934,0.85618341,,,,,,
36,0.17263259,12.52081871,0.049418639,26.1221838,0.853063881,,,,,,
37,0.170701548,12.60276413,0.046435859,26.66292906,0.860960484,,,,,,
38,0.160695747,11.64144707,0.045359023,26.86672688,0.864894807,,,,,,
39,0.163013443,11.61055279,0.045667809,26.80779696,0.865332782,,,,,,
40,0.156839207,11.12413025,0.042468768,27.43860722,0.873680115,,,,,,
41,0.163968444,11.83415413,0.041861195,27.56376743,0.874740362,,,,,,
42,0.161199987,12.0528326,0.042803053,27.37050533,0.873299599,,,,,,
43,0.157985896,11.85220528,0.04058937,27.8317523,0.881587684,,,,,,
44,0.153191507,11.63916969,0.040085066,27.94034719,0.885616839,,,,,,
45,0.156552032,11.78856468,0.041143872,27.71389723,0.883618951,,,,,,
46,0.1543369,11.67940617,0.038387619,28.31617594,0.890178025,,,,,,
47,0.141690359,10.58150101,0.037006941,28.63433599,0.892864168,,,,,,
48,0.146690756,11.31516457,0.037661187,28.48212004,0.891755998,,,,,,
49,0.143378615,10.81168938,0.035469007,29.00301933,0.89795512,,,,,,
50,0.14112395,10.42107201,0.03507204,29.1007781,0.896796703,,,,,,
51,0.139736742,10.32281399,0.035904761,28.89695883,0.892942607,,,,,,
52,0.137374282,10.40560627,0.034249604,29.30688858,0.896489978,,,,,,
53,0.134404466,10.23681831,0.033507098,29.49726343,0.896923423,,,,,,
54,0.138223186,10.34043407,0.034927521,29.13664341,0.891899467,,,,,,
55,0.135732844,10.01131344,0.033590149,29.47576046,0.896969914,,,,,,
56,0.134102926,9.831256866,0.032540772,29.75144386,0.897941709,,,,,,
57,0.137723416,10.13216591,0.03364351,29.46197271,0.895200253,,,,,,
58,0.132061779,9.736606598,0.031237757,30.10640383,0.902340055,,,,,,
59,0.130630285,9.788614273,0.030703582,30.25621891,0.903307021,,,,,,
60,0.129189476,9.470912933,0.032076892,29.87615347,0.899411142,,,,,,
61,0.128838629,9.91018486,0.030411348,30.33928633,0.903648376,,,,,,
62,0.125994653,9.691429138,0.030089125,30.43180704,0.90435344,,,,,,
63,0.126860306,9.701696396,0.030673105,30.26484489,0.900857449,,,,,,
64,0.123274297,9.489063263,0.028805207,30.81058025,0.906348586,,,,,,
65,0.125233501,9.728197098,0.028251262,30.97924232,0.908355236,,,,,,
66,0.124345005,9.515768051,0.028919231,30.77626467,0.905230641,,,,,,
67,0.114732303,8.586456299,0.027108237,31.33797407,0.909486353,,,,,,
68,0.114047617,8.545637131,0.026479257,31.54188395,0.911089659,,,,,,
69,0.112875864,8.471881866,0.026632575,31.49173498,0.91063714,,,,,,
70,0.107929781,8.20740509,0.024836069,32.09834337,0.914679408,,,,,,
71,0.108217455,8.255588531,0.024249977,32.3057723,0.916815341,,,,,,
72,0.110006198,8.157785416,0.025264183,31.94989443,0.912353873,,,,,,
73,0.110260651,8.023220062,0.024771972,32.1207881,0.91455996,,,,,,
74,0.112272352,8.028594971,0.024712536,32.14165211,0.912418783,,,,,,
75,0.113041878,8.00349617,0.025362091,31.91629887,0.91004926,,,,,,
76,0.106045723,7.629487038,0.02373424,32.4924922,0.915780127,,,,,,
77,0.10524141,7.777966976,0.023224771,32.68096924,0.917925358,,,,,,
78,0.105111793,7.972044945,0.023789616,32.47225046,0.917395651,,,,,,
79,0.102655917,7.660676956,0.022396181,32.99651861,0.924561024,,,,,,
80,0.100369468,7.788377762,0.022290116,33.03775311,0.92729038,,,,,,
81,0.10257291,8.058696747,0.02256481,32.93136597,0.92855674,,,,,,
82,0.101708375,7.896456718,0.021394176,33.39408636,0.933362901,,,,,,
83,0.100688398,7.944039345,0.021137014,33.49912643,0.935054243,,,,,,
84,0.102598011,8.361314774,0.021676615,33.28016996,0.934332609,,,,,,
85,0.10035374,8.116419792,0.020939244,33.58078003,0.937457502,,,,,,
86,0.098409131,7.842254639,0.020828269,33.62693548,0.938545704,,,,,,
87,0.103345886,8.217345238,0.021415837,33.38529825,0.936833441,,,,,,
88,0.100393936,8.267381668,0.020613045,33.71715546,0.94023037,,,,,,
89,0.098144859,7.953215599,0.020614764,33.71643305,0.94003135,,,,,,
90,0.102897756,8.208698273,0.021599634,33.3110714,0.937128842,,,,,,
91,0.100247473,8.087004662,0.021442924,33.37431908,0.939717054,,,,,,
92,0.102704689,8.449901581,0.021524332,33.34140539,0.941003561,,,,,,
93,0.102686539,8.340433121,0.022460734,32.97152042,0.938886821,,,,,,
94,0.102836743,8.514818192,0.021539226,33.33539724,0.940124571,,,,,,
95,0.105121553,8.638093948,0.021434395,33.37777376,0.942237556,,,,,,
96,0.100746617,8.149265289,0.022163264,33.0873251,0.940756321,,,,,,
97,0.103308193,8.734810829,0.021444244,33.37378502,0.943266749,,,,,,
98,0.101543844,8.548124313,0.021793859,33.23331594,0.942730665,,,,,,
99,0.102074981,8.437837601,0.022497267,32.95740366,0.942000449,,,,,,
100,0.103094667,8.582032204,0.021935659,33.17698479,0.942938089,,,,,,
101,0.105649576,8.665743828,0.022163581,33.08720112,0.942033827,,,,,,
102,0.106299832,8.6138134,0.023089619,32.73166418,0.938566148,,,,,,
103,0.104460791,8.276075363,0.022455573,32.97351599,0.941488564,,,,,,
104,0.105750881,8.646438599,0.022775237,32.85073996,0.940570891,,,,,,
105,0.110288024,8.7596035,0.023948664,32.41437435,0.937013447,,,,,,
106,0.107376873,8.700962067,0.023121133,32.71981716,0.938399553,,,,,,
107,0.107894957,8.585842133,0.023624061,32.53290892,0.936444461,,,,,,
108,0.107897997,8.440908432,0.024366373,32.26418257,0.933710694,,,,,,
109,0.111770913,8.816115379,0.023589885,32.54548311,0.935900092,,,,,,
110,0.110878989,8.858089447,0.023676969,32.5134778,0.935989022,,,,,,
111,0.110264108,8.695262909,0.024764631,32.12336063,0.931897163,,,,,,
112,0.111996301,8.914524078,0.024229165,32.31323004,0.934363127,,,,,,
113,0.110899024,8.774977684,0.024789093,32.1147871,0.932745993,,,,,,
114,0.116146296,9.407684326,0.025500597,31.86899185,0.931434155,,,,,,
115,0.114184797,9.173023224,0.024802385,32.11013079,0.934394896,,,,,,
116,0.111600846,8.834553719,0.024809109,32.10777521,0.934672356,,,,,,
117,0.112298295,8.611207008,0.025417076,31.89748764,0.931997359,,,,,,
118,0.112903871,8.726093292,0.024314681,32.28262663,0.93451786,,,,,,
119,0.111962683,8.859014511,0.024346767,32.271173,0.933330774,,,,,,
120,0.114861421,8.962099075,0.025422858,31.89551115,0.92959708,,,,,,
121,0.116804339,9.100009918,0.024397025,32.25326061,0.933214128,,,,,,
122,0.116160706,8.96496582,0.024513382,32.21193314,0.93261826,,,,,,
123,0.114180416,9.009515762,0.025520626,31.86217308,0.929586649,,,,,,
124,0.114138216,8.932146072,0.024400689,32.25195646,0.931949317,,,,,,
125,0.112584144,8.776984215,0.02441898,32.24545002,0.9314273,,,,,,
126,0.11512094,9.46214962,0.024964239,32.05363274,0.930129468,,,,,,
127,0.111706652,9.119070053,0.023905944,32.4298811,0.932830513,,,,,,
128,0.111634932,9.165399551,0.023952937,32.41282463,0.931884766,,,,,,
129,0.112442933,9.14552021,0.024306789,32.28544712,0.931234002,,,,,,
130,0.114961766,9.541893959,0.023264948,32.6659584,0.93437773,,,,,,
131,0.110689625,9.198019028,0.022997767,32.76628494,0.93399179,,,,,,
132,0.111241028,9.045288086,0.023987189,32.40041256,0.931230307,,,,,,
133,0.110759005,9.33111763,0.023044897,32.74850368,0.934202254,,,,,,
134,0.111365795,9.292460442,0.02296818,32.77746677,0.935498536,,,,,,
135,0.110173598,8.828186989,0.024020441,32.38837957,0.932135284,,,,,,
136,0.108493127,8.584346771,0.02304641,32.74793386,0.936496913,,,,,,
137,0.108348712,8.561787605,0.023104148,32.72619963,0.936281264,,,,,,
138,0.111699946,8.81056881,0.024273727,32.2972703,0.932051659,,,,,,
139,0.113052234,8.684076309,0.023276592,32.66161203,0.934815824,,,,,,
140,0.110588849,8.443551064,0.023245716,32.67313957,0.935289562,,,,,,
141,0.113979444,8.734045029,0.023755793,32.4846077,0.934800923,,,,,,
142,0.108561896,8.462283134,0.022768311,32.85338163,0.939905941,,,,,,
143,0.108740687,8.370538712,0.022628136,32.90702343,0.940471113,,,,,,
144,0.108310983,8.401805878,0.0233876,32.62028694,0.936912715,,,,,,
145,0.108021036,8.273233414,0.02220973,33.06913376,0.939367354,,,,,,
146,0.105918497,8.078573227,0.021991773,33.15479517,0.939563155,,,,,,
147,0.108190529,8.378936768,0.022952547,32.78338194,0.937705934,,,,,,
148,0.10476201,8.187075615,0.022054769,33.12994957,0.94204247,,,,,,
149,0.105204687,8.465379715,0.021944027,33.17367315,0.943715811,,,,,,
150,0.11155507,9.152673721,0.023025554,32.75579691,0.941421986,,,,,,
151,0.107783735,8.999773979,0.02250034,32.95621872,0.943159282,,,,,,
152,0.111439422,9.45641613,0.022539701,32.94103622,0.942712545,,,,,,
153,0.109533891,8.805782318,0.023645869,32.52489328,0.937494695,,,,,,
154,0.110134497,8.586050987,0.022562135,32.93239594,0.938047469,,,,,,
155,0.106743738,8.328227997,0.022570955,32.92900085,0.936207473,,,,,,
156,0.109747976,8.444277763,0.023606263,32.53945351,0.931845009,,,,,,
157,0.107614748,8.394046783,0.022694899,32.88143396,0.933629751,,,,,,
158,0.10707064,8.361595154,0.023356078,32.63200045,0.932555497,,,,,,
159,0.109033033,8.388466835,0.024396967,32.25328207,0.928772151,,,,,,
160,0.10803625,8.455507278,0.023499031,32.579,0.93206358,,,,,,
161,0.10901051,8.675826073,0.023268186,32.66474962,0.933975935,,,,,,
162,0.113853015,9.141952515,0.024621801,32.17360258,0.929151416,,,,,,
163,0.109048463,8.479563713,0.02366307,32.51857758,0.932510316,,,,,,
164,0.111340739,8.920342445,0.023620753,32.53412485,0.933484554,,,,,,
165,0.113002807,8.901353836,0.024767803,32.1222496,0.92933017,,,,,,
166,0.110646933,8.799398422,0.023738654,32.49087811,0.93237859,,,,,,
167,0.1075982,8.465167046,0.023436481,32.60215044,0.931040406,,,,,,
168,0.111961044,8.773997307,0.024313398,32.28308678,0.926606774,,,,,,
169,0.106579877,8.439964294,0.023042347,32.74946451,0.929426551,,,,,,
170,0.108184725,8.679428101,0.022912452,32.79856682,0.929698229,,,,,,
171,0.109460376,8.974020004,0.023610555,32.53787518,0.926215291,,,,,,
172,0.109295338,8.940939903,0.022290537,33.0375886,0.929775834,,,,,,
173,0.108857907,9.10278511,0.022327578,33.02316666,0.931282341,,,,,,
174,0.110530496,9.239129066,0.023238992,32.6756525,0.928299248,,,,,,
175,0.10624022,8.814170837,0.021948798,33.17178488,0.93307966,,,,,,
176,0.106521621,9.121583939,0.021563258,33.3257103,0.934262514,,,,,,
177,0.110374242,9.311433792,0.022643184,32.90124893,0.931555092,,,,,,
178,0.108221814,9.21579361,0.021619409,33.30312252,0.935988069,,,,,,
179,0.105184212,8.900605202,0.021345505,33.41387033,0.937222004,,,,,,
180,0.105753124,8.690937042,0.022190688,33.07658434,0.934268534,,,,,,
181,0.103642717,8.587240219,0.021402473,33.39071989,0.936856031,,,,,,
182,0.097959943,8.129076004,0.021354562,33.41018677,0.93600148,,,,,,
183,0.104102679,8.511063576,0.021924909,33.18124294,0.932757735,,,,,,
184,0.103007399,8.576002121,0.021008516,33.55209112,0.934957266,,,,,,
185,0.104863159,8.543213844,0.021045439,33.53683949,0.933894038,,,,,,
186,0.100719988,8.251233101,0.021518517,33.34375143,0.931963682,,,,,,
187,0.099862158,8.136699677,0.020481829,33.77262592,0.934163034,,,,,,
188,0.104229778,8.69921875,0.020377498,33.81698132,0.933574915,,,,,,
189,0.102751344,8.546922684,0.021006016,33.55312586,0.929633379,,,,,,
