,PL,TML,RMSE,PSNR,SSIM,,,,,,
0,0.136159301,15.12104797,0.01987165,34.03532028,0.956373572,,0.1484,14.6234,0.0244,32.4189,0.9204
1,0.134194389,14.8684473,0.019021271,34.41520929,0.959174395,,0.0239,1.7415,0.0053,1.6938,0.0264
2,0.129360065,14.5430088,0.018851457,34.49310064,0.960735977,,,,,,
3,0.130849019,15.21315765,0.01938702,34.24977779,0.959093928,,,,,,
4,0.125947535,14.631073,0.018289035,34.75618362,0.963192105,,,,,,
5,0.123674341,13.8436451,0.017579982,35.09963036,0.964780569,,,,,,
6,0.129837751,14.52675819,0.017773267,35.00465393,0.962821901,,,,,,
7,0.13734445,15.1552372,0.017260611,35.25887489,0.962026477,,,,,,
8,0.135485113,14.80347252,0.017605547,35.08700848,0.958380103,,,,,,
9,0.138305888,14.64284039,0.018437631,34.68589544,0.951153278,,,,,,
10,0.138404116,14.45826435,0.018264718,34.76773977,0.948581517,,,,,,
11,0.141128182,14.69513416,0.01923991,34.31593895,0.944737136,,,,,,
12,0.151059449,15.40293217,0.020764599,33.65352869,0.937086165,,,,,,
13,0.154736012,15.41289139,0.020951942,33.57551336,0.93418014,,,,,,
14,0.159550443,15.9211874,0.022544708,32.93910742,0.924864769,,,,,,
15,0.171546817,17.11350632,0.025562983,31.84776783,0.911770165,,,,,,
16,0.171218768,16.74150848,0.026492469,31.5375495,0.905725062,,,,,,
17,0.178441331,17.15976715,0.027826434,31.110847,0.897903025,,,,,,
18,0.192821503,18.28470421,0.030261369,30.3822279,0.885595918,,,,,,
19,0.186248839,17.54894638,0.030795444,30.23026943,0.880394459,,,,,,
20,0.188653708,17.71393394,0.032396827,29.78995085,0.871487439,,,,,,
21,0.189700723,17.42221069,0.034488928,29.24640656,0.863473296,,,,,,
22,0.191069454,17.1461544,0.034105491,29.34351444,0.861459494,,,,,,
23,0.199714601,17.77487373,0.035385482,29.0234971,0.857119143,,,,,,
24,0.207378313,18.3401413,0.037748918,28.46190929,0.849768221,,,,,,
25,0.198954225,17.9949646,0.03654062,28.74448061,0.852699876,,,,,,
26,0.205936983,18.66104126,0.037367359,28.55015039,0.850909054,,,,,,
27,0.21300827,19.21281815,0.039789382,28.00465584,0.844052851,,,,,,
28,0.210595548,19.19479561,0.038467523,28.29811573,0.84939903,,,,,,
29,0.206040293,18.37255287,0.039031871,28.17161083,0.849693537,,,,,,
30,0.211849809,18.88395309,0.04069541,27.80909061,0.845563471,,,,,,
31,0.21292235,19.18431473,0.03911243,28.15370321,0.851956308,,,,,,
32,0.208174318,18.7651577,0.039200716,28.13411951,0.853156805,,,,,,
33,0.213581473,19.44771194,0.040217504,27.91169643,0.851793885,,,,,,
34,0.205914497,18.66485786,0.038131654,28.37428808,0.859892428,,,,,,
35,0.204002157,18.62322998,0.037866723,28.43484402,0.861058116,,,,,,
36,0.21056439,19.26614571,0.039211497,28.13173056,0.857569814,,,,,,
37,0.205637544,18.90670013,0.037025191,28.630054,0.864480019,,,,,,
38,0.195765495,17.66300011,0.035842985,28.91191721,0.868966162,,,,,,
39,0.19703275,17.67500877,0.036019564,28.86923075,0.870171607,,,,,,
40,0.190095961,16.83653069,0.033665761,29.45622921,0.877847373,,,,,,
41,0.194514662,17.36491966,0.033164553,29.58651781,0.87834549,,,,,,
42,0.193473175,17.5413475,0.033858161,29.40673113,0.876559138,,,,,,
43,0.190182775,17.68703079,0.03231037,29.8131609,0.885441959,,,,,,
44,0.189328879,17.72738266,0.032156419,29.85464573,0.888281822,,,,,,
45,0.186565161,17.30890083,0.033590022,29.47579384,0.885644078,,,,,,
46,0.183004647,16.9672184,0.03171536,29.97460604,0.893338144,,,,,,
47,0.173803717,16.49863434,0.030938597,30.18998623,0.895860076,,,,,,
48,0.175817579,16.91670609,0.031608261,30.00398874,0.893040776,,,,,,
49,0.172421858,16.54029083,0.029653296,30.55854082,0.899440467,,,,,,
50,0.175772846,16.57913017,0.029591531,30.5766511,0.898491859,,,,,,
51,0.170885175,15.94924545,0.030120499,30.42275667,0.894118249,,,,,,
52,0.175522834,16.6133213,0.028842239,30.79941988,0.897127926,,,,,,
53,0.17297174,16.62526321,0.028504739,30.90165854,0.89662838,,,,,,
54,0.174503371,16.30174637,0.02955634,30.58698654,0.892970264,,,,,,
55,0.167738914,15.5736866,0.028270388,30.97336292,0.897767067,,,,,,
56,0.166890398,15.76192665,0.027813939,31.11474991,0.898794889,,,,,,
57,0.168477342,15.66837311,0.028601088,30.87234974,0.896276474,,,,,,
58,0.162481666,15.0952549,0.027213274,31.30438328,0.902026057,,,,,,
59,0.163018614,15.28471375,0.02678461,31.44229174,0.902830601,,,,,,
60,0.16385974,15.39805508,0.027730197,31.14094019,0.899408937,,,,,,
61,0.157263085,14.98064423,0.026499795,31.53514862,0.903722584,,,,,,
62,0.160551846,15.13201618,0.026281441,31.60701513,0.903591156,,,,,,
63,0.15867281,15.09498882,0.02695551,31.38704777,0.900342226,,,,,,
64,0.152893901,14.68063259,0.025577217,31.8429327,0.9056288,,,,,,
65,0.157377958,15.23308563,0.025163999,31.98440552,0.908095181,,,,,,
66,0.157458425,15.24001312,0.025860047,31.74741268,0.904719353,,,,,,
67,0.148782119,14.53755665,0.024431115,32.24113464,0.910214245,,,,,,
68,0.150493622,14.5118866,0.024003461,32.39452124,0.911432266,,,,,,
69,0.148178875,14.28554916,0.024362672,32.26550102,0.910372496,,,,,,
70,0.146568328,14.24678802,0.022881197,32.81042337,0.91488111,,,,,,
71,0.141932666,13.43908882,0.0225782,32.92621374,0.916290462,,,,,,
72,0.141771138,13.431036,0.023410613,32.6117444,0.91183573,,,,,,
73,0.137044474,12.420434,0.022779001,32.84930468,0.914661884,,,,,,
74,0.139302194,12.5778389,0.02257226,32.92849779,0.912352622,,,,,,
75,0.141461194,12.81969261,0.023022009,32.75713444,0.910449266,,,,,,
76,0.134225398,12.14998722,0.022233361,33.05989504,0.915804863,,,,,,
77,0.132148564,12.16894913,0.022090301,33.11596632,0.917526424,,,,,,
78,0.136312887,12.87743378,0.022623913,32.90864468,0.916721642,,,,,,
79,0.130778641,12.39665794,0.021638039,33.29564095,0.923695505,,,,,,
80,0.127341628,12.38444519,0.021564445,33.32523346,0.92628932,,,,,,
81,0.129441977,12.60271454,0.021919234,33.18349123,0.927113056,,,,,,
82,0.128838494,12.4868412,0.021053635,33.53345633,0.93185097,,,,,,
83,0.130373746,12.65082169,0.020856986,33.61496925,0.93352741,,,,,,
84,0.130486369,12.87337303,0.021379514,33.40004206,0.932422578,,,,,,
85,0.12833716,12.61327362,0.020823343,33.62899065,0.936160803,,,,,,
86,0.126900315,12.56179142,0.020635065,33.70788336,0.937520683,,,,,,
87,0.127080977,12.54085732,0.021165747,33.4873271,0.935616076,,,,,,
88,0.128761798,13.13228226,0.020626836,33.71134758,0.938758194,,,,,,
89,0.126589879,12.68173504,0.020525709,33.75403643,0.939366281,,,,,,
90,0.127676368,12.57195091,0.021149389,33.49404335,0.93626821,,,,,,
91,0.127711818,12.52415752,0.020959942,33.57219696,0.938193798,,,,,,
92,0.126969665,12.42561817,0.0210898,33.5185504,0.93988657,,,,,,
93,0.131337434,12.94245338,0.021911623,33.18650723,0.937059581,,,,,,
94,0.129922241,13.07264709,0.0211943,33.47561836,0.939019799,,,,,,
95,0.129121959,12.93870163,0.021277396,33.44162941,0.940242946,,,,,,
96,0.130550876,13.23291492,0.022010347,33.14746141,0.938592672,,,,,,
97,0.131085128,13.3586998,0.021528374,33.33977461,0.941702545,,,,,,
98,0.130996898,13.26949692,0.021841213,33.21446419,0.941531301,,,,,,
99,0.131073862,13.28757286,0.022460787,32.97149897,0.939525962,,,,,,
100,0.130362153,13.17717171,0.021863036,33.20579052,0.940863907,,,,,,
101,0.134269655,13.45659447,0.022179503,33.0809617,0.93953979,,,,,,
102,0.134153903,13.3482399,0.022762492,32.85560369,0.936672032,,,,,,
103,0.130632043,12.70288467,0.022207981,33.06981802,0.939221978,,,,,,
104,0.134943813,13.71846008,0.022336658,33.01963568,0.938294768,,,,,,
105,0.134317085,13.15210247,0.023277206,32.66138077,0.934878111,,,,,,
106,0.137365669,13.57951736,0.022636987,32.90362597,0.935969353,,,,,,
107,0.134999543,13.33791351,0.022846879,32.82346249,0.93501246,,,,,,
108,0.137587667,13.65098953,0.023569407,32.55302668,0.932059765,,,,,,
109,0.136119097,13.4409008,0.022777712,32.8497982,0.934339285,,,,,,
110,0.138540342,13.63261414,0.022812156,32.83667326,0.934232652,,,,,,
111,0.141716063,13.73826599,0.023697106,32.50609398,0.930874825,,,,,,
112,0.139764324,13.53238487,0.023255665,32.66942501,0.932941496,,,,,,
113,0.139324829,13.63502789,0.023657544,32.52060652,0.931630135,,,,,,
