,PL,TML,RMSE,PSNR,SSIM,,,,,,
0,0.118710116,11.90956306,0.021142965,33.49668264,0.953477859,,0.1327,11.3263,0.0264,31.7779,0.9169
1,0.114531808,11.59312057,0.01981459,34.06029701,0.956665099,,0.0255,1.9722,0.0064,1.8579,0.0292
2,0.111422703,11.50674629,0.019440338,34.22592402,0.95835799,,,,,,
3,0.112576932,11.88428593,0.019860208,34.0403223,0.957260847,,,,,,
4,0.108801544,11.45158577,0.018560596,34.62816,0.96129632,,,,,,
5,0.107674338,10.89869213,0.018182622,34.80686903,0.962404609,,,,,,
6,0.107599422,10.70725632,0.018567767,34.62480545,0.960661173,,,,,,
7,0.113920644,11.2640543,0.018275583,34.76257324,0.95932138,,,,,,
8,0.112355188,11.10467148,0.018616769,34.6019125,0.95556891,,,,,,
9,0.120104581,11.80189991,0.019653756,34.13108826,0.947672367,,,,,,
10,0.120411366,11.79534721,0.019515695,34.19231892,0.944828272,,,,,,
11,0.124158859,11.98516083,0.020328389,33.83794069,0.940125227,,,,,,
12,0.136638284,12.84572315,0.022117952,33.10510159,0.932514071,,,,,,
13,0.137761623,12.78002834,0.022753933,32.85887003,0.929396629,,,,,,
14,0.150582477,13.77013111,0.0247322,32.13474274,0.918376803,,,,,,
15,0.16318804,14.66402817,0.027840126,31.10657454,0.905322313,,,,,,
16,0.161693186,14.2549181,0.028802671,30.81134319,0.898195982,,,,,,
17,0.170592442,15.12736511,0.030337961,30.36027193,0.890796423,,,,,,
18,0.179560214,15.68253803,0.033197597,29.5778656,0.879297316,,,,,,
19,0.177028924,15.01499939,0.033858418,29.40666676,0.872455478,,,,,,
20,0.17403473,15.0550499,0.035439476,29.01025295,0.864899337,,,,,,
21,0.177314013,14.58356953,0.038127836,28.37515593,0.856723428,,,,,,
22,0.178290144,14.5881424,0.037675615,28.47879171,0.853358924,,,,,,
23,0.186165735,14.98789787,0.039186921,28.13717604,0.848994553,,,,,,
24,0.190127477,15.32647324,0.042090245,27.51636982,0.84202534,,,,,,
25,0.187932462,15.19349098,0.041112561,27.72050858,0.843350828,,,,,,
26,0.193179578,15.98750401,0.041897558,27.55622625,0.842232823,,,,,,
27,0.19734475,16.16582108,0.044466089,27.0394206,0.835998118,,,,,,
28,0.199071005,16.40345001,0.043049514,27.32063532,0.83969301,,,,,,
29,0.197087914,16.28858948,0.043784082,27.17367411,0.838831067,,,,,,
30,0.199767217,16.56673813,0.045642722,26.8125701,0.835449815,,,,,,
31,0.19760491,16.00297928,0.043833435,27.16388941,0.841395795,,,,,,
32,0.197693184,16.0228672,0.043893952,27.15190649,0.842573524,,,,,,
33,0.199056223,16.10832596,0.045591805,26.82226419,0.839872003,,,,,,
34,0.188917667,15.21058369,0.043193426,27.291646,0.847928047,,,,,,
35,0.191991344,15.66744995,0.042675015,27.39652634,0.848831952,,,,,,
36,0.193466067,15.64493275,0.044176452,27.0961833,0.846012712,,,,,,
37,0.191100091,15.51300049,0.04140443,27.65906334,0.853831172,,,,,,
38,0.183423907,14.82616615,0.040140342,27.92837858,0.85847348,,,,,,
39,0.182356566,14.49744225,0.040368795,27.87908316,0.85975039,,,,,,
40,0.175223157,14.08990097,0.037759408,28.4594965,0.867593408,,,,,,
41,0.182796627,14.74499416,0.037128963,28.60574484,0.868728936,,,,,,
42,0.18301031,15.05094147,0.038073845,28.38746548,0.867312491,,,,,,
43,0.181515664,15.37344837,0.036385223,28.78149986,0.875187337,,,,,,
44,0.179384649,15.38672924,0.035968039,28.88166428,0.88001281,,,,,,
45,0.181073621,15.72240829,0.037416898,28.53864431,0.877274454,,,,,,
46,0.17701906,14.89249134,0.035521969,28.9900589,0.884406447,,,,,,
47,0.167550296,14.27375889,0.03468027,29.19835091,0.886935234,,,,,,
48,0.166861102,14.20010185,0.035227425,29.06238079,0.885490656,,,,,,
49,0.162276506,13.56253242,0.032969695,29.63770151,0.892322898,,,,,,
50,0.16226536,13.25271416,0.032866586,29.66490746,0.890726686,,,,,,
51,0.160406411,13.00701332,0.033575576,29.47952986,0.887048244,,,,,,
52,0.156859994,12.98698616,0.031968053,29.90567446,0.890528798,,,,,,
53,0.15318644,12.62478352,0.031722736,29.97258663,0.890030801,,,,,,
54,0.156522453,12.66219711,0.032923792,29.64980125,0.886434197,,,,,,
55,0.155298457,12.49726868,0.031257331,30.10096073,0.891820669,,,,,,
56,0.155005962,12.44651222,0.030789567,30.23192644,0.892581105,,,,,,
57,0.160371035,12.96487522,0.031824045,29.94489193,0.889312148,,,,,,
58,0.154266804,12.58965683,0.030137371,30.41789293,0.896080196,,,,,,
59,0.15225485,12.77327538,0.02971766,30.53970814,0.897036672,,,,,,
60,0.149797261,12.30064201,0.030713767,30.25333881,0.893804789,,,,,,
61,0.145891905,12.1787281,0.029308539,30.66011667,0.897893846,,,,,,
62,0.145392552,12.02657127,0.029013673,30.74794531,0.898509324,,,,,,
63,0.14386788,12.06685638,0.029863324,30.49723625,0.894815028,,,,,,
64,0.143512473,11.83176422,0.028248666,30.98004103,0.900342941,,,,,,
65,0.142656878,12.11563396,0.027793156,31.12124205,0.902534068,,,,,,
66,0.138151199,11.36360168,0.028447196,30.91920853,0.899678349,,,,,,
67,0.13335079,10.92674446,0.026816119,31.43208027,0.904271126,,,,,,
68,0.134867683,11.17454815,0.026451383,31.55103207,0.905203402,,,,,,
69,0.131614536,10.94137573,0.026827756,31.42831087,0.904798627,,,,,,
70,0.125307932,10.2638979,0.025241241,31.95778608,0.909747779,,,,,,
71,0.124016985,10.18067169,0.024912968,32.07149029,0.911423206,,,,,,
72,0.125393555,10.16967392,0.025949512,31.71741486,0.906696558,,,,,,
73,0.125235856,9.803611755,0.024931874,32.0649004,0.909439683,,,,,,
74,0.126092508,9.664569855,0.024760343,32.12486506,0.907132745,,,,,,
75,0.124052852,9.554069519,0.025532898,31.85799837,0.904931545,,,,,,
76,0.121001318,9.441607475,0.024204567,32.32205391,0.911444902,,,,,,
77,0.121476732,9.809082985,0.02420547,32.32172966,0.912776113,,,,,,
