,PL,TML,RMSE,PSNR,SSIM,,,,,,
0,0.099549636,9.310480118,0.018376382,34.71479893,0.959290087,,0.1127,8.8489,0.0239,32.6641,0.9247
1,0.093800277,8.744270325,0.017062863,35.35896063,0.962424755,,0.0215,1.2725,0.0061,1.948,0.0275
2,0.088401988,8.401395798,0.016798371,35.49465418,0.963849068,,,,,,
3,0.092277348,9.120410919,0.017108994,35.33550978,0.963022888,,,,,,
4,0.088883027,8.779996872,0.016033774,35.89928389,0.96675694,,,,,,
5,0.087348603,8.278663635,0.015690826,36.08708143,0.967740893,,,,,,
6,0.09254016,8.663232803,0.016224636,35.79649925,0.96575588,,,,,,
7,0.09701708,9.195128441,0.015963841,35.93724966,0.964773774,,,,,,
8,0.094350994,8.6645298,0.016247427,35.78430653,0.961004019,,,,,,
9,0.095891982,8.42276001,0.016979817,35.40133715,0.954119444,,,,,,
10,0.0978598,8.518362045,0.016885249,35.44984818,0.951624274,,,,,,
11,0.099507824,8.574313164,0.017773274,35.00464916,0.94708395,,,,,,
12,0.108909436,9.104141235,0.019489091,34.20416832,0.93948859,,,,,,
13,0.112041153,9.08804512,0.0201385,33.91945601,0.936623931,,,,,,
14,0.119601652,9.759019852,0.022031462,33.13913345,0.926814616,,,,,,
15,0.127682298,10.07421494,0.024831546,32.09992409,0.914921999,,,,,,
16,0.129728451,10.01475906,0.025736852,31.78889036,0.908282757,,,,,,
17,0.137849003,10.35391808,0.027202031,31.30797386,0.901185095,,,,,,
18,0.147345304,11.1094017,0.029838629,30.50442219,0.890218377,,,,,,
19,0.14551115,10.81381416,0.030368017,30.35166979,0.884025633,,,,,,
20,0.146405488,10.96906662,0.032172721,29.85024452,0.875680685,,,,,,
21,0.148285031,10.63198853,0.034915186,29.13971186,0.867340624,,,,,,
22,0.146631658,10.22899055,0.034452006,29.25570965,0.864445329,,,,,,
23,0.15612641,10.91408348,0.035920549,28.89313936,0.860822618,,,,,,
24,0.16130504,11.4268856,0.038971517,28.18505287,0.853483737,,,,,,
25,0.157871842,11.36105156,0.037869092,28.43430281,0.854740679,,,,,,
26,0.163702428,11.87621117,0.038303535,28.3352232,0.854536116,,,,,,
27,0.167119697,12.12342834,0.040904947,27.7644825,0.848180234,,,,,,
28,0.1679914,12.07842159,0.039633978,28.03864717,0.852056026,,,,,,
29,0.1649957,11.70159912,0.040320091,27.88956881,0.851855099,,,,,,
30,0.167815819,12.05543613,0.042437505,27.44500399,0.847259879,,,,,,
31,0.170223832,12.11544609,0.04055554,27.83899546,0.853838623,,,,,,
32,0.172997311,12.47893524,0.040533256,27.8437686,0.855068445,,,,,,
33,0.172613814,12.66337204,0.042400599,27.45255947,0.851800323,,,,,,
34,0.164064839,11.75574112,0.03986907,27.98727751,0.859498501,,,,,,
35,0.166046262,12.09194756,0.03927942,28.11669827,0.861111104,,,,,,
36,0.168162361,12.23590088,0.040783703,27.79026508,0.858534694,,,,,,
37,0.164617285,12.14266586,0.038282689,28.33995104,0.865398645,,,,,,
38,0.156463236,11.22361946,0.037058454,28.62225294,0.869343936,,,,,,
39,0.158065274,11.28002739,0.037560798,28.50530386,0.869985163,,,,,,
40,0.153823778,10.9186573,0.034857746,29.1540122,0.877930641,,,,,,
41,0.156470448,11.35621834,0.033996098,29.37141895,0.879405081,,,,,,
42,0.15417403,11.43030739,0.034938756,29.13385153,0.87793678,,,,,,
43,0.154156476,11.57408905,0.033252392,29.56354141,0.885853231,,,,,,
44,0.149713755,11.39300632,0.03302582,29.62292671,0.889535427,,,,,,
