,PL,TML,RMSE,PSNR,SSIM,,,,,,
0,0.119435363,11.92561531,0.019547392,34.17822361,0.94109869,,0.1361,11.6411,0.0256,32.0609,0.8966
1,0.114632629,11.35332489,0.018368607,34.71847296,0.945077658,,0.024,1.619,0.0062,1.8891,0.0301
2,0.112293065,11.13547707,0.018044956,34.87288237,0.945221722,,,,,,
3,0.111633979,11.3935461,0.018408235,34.69975471,0.948798358,,,,,,
4,0.106755443,10.69709969,0.017062718,35.35903454,0.949188232,,,,,,
5,0.106831864,10.40152073,0.016839445,35.47344208,0.948791742,,,,,,
6,0.109978072,10.72064877,0.017429816,35.17414331,0.946371019,,,,,,
7,0.115101978,11.28803635,0.016912321,35.43593407,0.945659995,,,,,,
8,0.11398869,10.87292099,0.017274801,35.25173903,0.9421435,,,,,,
9,0.115362257,10.74608517,0.017898785,34.94352818,0.933340788,,,,,,
10,0.119656011,11.18257904,0.01789319,34.94624376,0.928569376,,,,,,
11,0.124860674,11.64887428,0.018826205,34.50474262,0.920938492,,,,,,
12,0.132471412,12.23288345,0.020515207,33.75848055,0.915965497,,,,,,
13,0.136717722,12.10327911,0.021076614,33.52398157,0.910246134,,,,,,
14,0.142384797,12.80280495,0.022993373,32.76794434,0.902571321,,,,,,
15,0.156260952,14.01050472,0.026115311,31.66209459,0.886530697,,,,,,
16,0.15893501,13.87862015,0.027027979,31.36372805,0.881229341,,,,,,
17,0.164735526,13.94063282,0.028606432,30.87072611,0.873957992,,,,,,
18,0.178239733,15.25043488,0.031193325,30.11876583,0.860303044,,,,,,
19,0.174532026,14.62913513,0.032050677,29.88325596,0.849743068,,,,,,
20,0.173954606,14.62261581,0.03354276,29.48802233,0.845638037,,,,,,
21,0.17658028,14.11588097,0.036360469,28.78741026,0.831454217,,,,,,
22,0.175142378,13.85463715,0.035811115,28.91964197,0.83195734,,,,,,
23,0.185591459,14.50032139,0.037210617,28.58666182,0.828213513,,,,,,
24,0.189302862,14.88863564,0.04036916,27.87900448,0.819490194,,,,,,
25,0.185219035,14.76101112,0.039055903,28.16626549,0.82325834,,,,,,
26,0.190547526,15.19746208,0.039907292,27.97895432,0.820643187,,,,,,
27,0.198408455,15.63770485,0.042862985,27.35835075,0.814249992,,,,,,
28,0.191404253,14.70847893,0.041502327,27.6385498,0.820055008,,,,,,
29,0.193355441,15.23493195,0.042523276,27.42746592,0.818920255,,,,,,
30,0.197205663,15.52722836,0.044471692,27.03832626,0.813133597,,,,,,
31,0.198101506,15.91839218,0.042693149,27.39283562,0.816858411,,,,,,
32,0.200573161,15.87360191,0.042575538,27.41679668,0.821879387,,,,,,
