,PL,TML,RMSE,PSNR,SSIM,,,,,,
0,0.143241242,15.87802792,0.019510854,34.19447422,0.954175413,,0.1511,14.8098,0.0242,32.4632,0.9172
1,0.140736833,15.6999464,0.018501712,34.65575933,0.957027018,,0.0231,1.6838,0.0049,1.602,0.0268
2,0.138287827,15.54676151,0.018297339,34.75224018,0.958370924,,,,,,
3,0.133843601,15.5412159,0.018711954,34.55761433,0.957072616,,,,,,
4,0.132087603,15.1744194,0.017729724,35.02595901,0.96081835,,,,,,
5,0.133097067,14.93435478,0.017343186,35.21742105,0.962044418,,,,,,
6,0.138124704,15.47660446,0.017715495,35.03293276,0.96032548,,,,,,
7,0.149594322,16.23833084,0.017531289,35.12372255,0.959021509,,,,,,
8,0.148110479,15.99746799,0.0177062,35.03749132,0.955159187,,,,,,
9,0.148334533,15.59539604,0.018246055,34.77662086,0.9484936,,,,,,
10,0.144891053,15.1701622,0.017992396,34.89821911,0.945709288,,,,,,
11,0.149922103,15.63347149,0.018683657,34.57076073,0.941170573,,,,,,
12,0.158139497,16.2088356,0.02012662,33.924582,0.933614075,,,,,,
13,0.161552161,16.26276016,0.020733759,33.66643906,0.930405736,,,,,,
14,0.169370949,17.04436874,0.022182206,33.07990551,0.921573758,,,,,,
15,0.176445067,17.59745407,0.024765218,32.12315559,0.90807575,,,,,,
16,0.175933465,17.17899323,0.025397573,31.90415382,0.901285291,,,,,,
17,0.181153074,17.3288765,0.026475988,31.54295444,0.893645227,,,,,,
18,0.195385277,18.36096573,0.028676275,30.849545,0.88208127,,,,,,
19,0.188086331,17.45765305,0.028988019,30.75562954,0.876563787,,,,,,
20,0.191335946,17.84632111,0.030427819,30.33458233,0.867867112,,,,,,
21,0.194646984,17.61510277,0.032703366,29.70814943,0.859498203,,,,,,
22,0.194602996,17.31603622,0.032185871,29.84669447,0.857408941,,,,,,
23,0.202379748,17.80465317,0.033482391,29.50366974,0.853413522,,,,,,
24,0.207591176,18.10557175,0.03588533,28.90166044,0.846655965,,,,,,
25,0.200365826,18.03366852,0.034986291,29.12204027,0.848835647,,,,,,
26,0.208572924,18.79740143,0.035804819,28.92117023,0.846863508,,,,,,
27,0.21446991,19.14839554,0.038173918,28.36466551,0.840184093,,,,,,
28,0.218010396,19.54091835,0.036840368,28.67352009,0.845255375,,,,,,
29,0.209501565,18.64484024,0.037338141,28.55694532,0.84542197,,,,,,
30,0.210825443,18.78640747,0.039094325,28.15772533,0.841530502,,,,,,
31,0.208400935,18.51729393,0.037642986,28.48631859,0.847306848,,,,,,
32,0.211493343,18.88254738,0.037684064,28.47684622,0.848918319,,,,,,
33,0.21395278,19.19013596,0.038886338,28.2040596,0.847815692,,,,,,
34,0.204880118,18.22006798,0.036943827,28.64916325,0.855764091,,,,,,
35,0.204514384,18.51508331,0.036535688,28.74565363,0.857220054,,,,,,
36,0.211392581,18.96500587,0.037864354,28.43539,0.853783131,,,,,,
37,0.208816856,19.11532974,0.035674799,28.95276785,0.860578418,,,,,,
38,0.197121441,17.73196793,0.034633081,29.21017647,0.865381777,,,,,,
39,0.19585079,17.31131744,0.034781467,29.17304277,0.866793752,,,,,,
40,0.19153285,16.93109894,0.032584094,29.73988533,0.874322295,,,,,,
41,0.194541678,17.34634781,0.032122135,29.86391068,0.874261737,,,,,,
42,0.191557884,17.13599205,0.032971524,29.63721991,0.872874022,,,,,,
43,0.189482883,17.41741371,0.031581517,30.01133919,0.88126725,,,,,,
44,0.189842477,17.49009323,0.031453874,30.04651546,0.884365976,,,,,,
45,0.187613219,17.41906929,0.032793302,29.68429565,0.88205415,,,,,,
46,0.184064507,17.04799843,0.031220786,30.11112213,0.889620006,,,,,,
47,0.17497243,16.56310844,0.0304964,30.31502724,0.892032504,,,,,,
48,0.175322741,16.61841965,0.031080104,30.15034914,0.8897686,,,,,,
49,0.17190589,16.22642708,0.029477442,30.61020374,0.895449042,,,,,,
50,0.173320711,15.98434353,0.029308623,30.66009045,0.894688427,,,,,,
51,0.172390699,15.73698711,0.029875452,30.49371004,0.89017123,,,,,,
52,0.173649162,16.1979332,0.028469887,30.91228485,0.893654823,,,,,,
53,0.172424018,16.31977844,0.028106093,31.02398872,0.893929958,,,,,,
54,0.172571868,15.84903526,0.029262101,30.67389011,0.889169931,,,,,,
55,0.17053169,15.62714291,0.02802553,31.04892254,0.893630147,,,,,,
56,0.16896674,15.52782059,0.027562775,31.1935401,0.895045996,,,,,,
57,0.16869998,15.35070515,0.028438464,30.92187643,0.892658234,,,,,,
58,0.164693162,15.12311363,0.027309444,31.27374172,0.898291409,,,,,,
59,0.165822089,15.38671875,0.026970057,31.38236284,0.898865938,,,,,,
60,0.164681494,15.23090935,0.027705114,31.14880085,0.89598614,,,,,,
61,0.158566415,14.88796806,0.026575282,31.5104413,0.900693238,,,,,,
62,0.160883754,15.10563469,0.026316829,31.59532785,0.900185466,,,,,,
63,0.15910247,15.01786137,0.026855275,31.41940594,0.897377789,,,,,,
64,0.153574929,14.63741398,0.025665812,31.81289911,0.902497232,,,,,,
65,0.156725347,15.00338554,0.02519628,31.97327137,0.905270457,,,,,,
66,0.156954497,14.91418171,0.025849234,31.75104618,0.90183115,,,,,,
67,0.148338646,14.3272438,0.024500865,32.21637011,0.907057166,,,,,,
68,0.148200512,14.15150261,0.023975283,32.40472317,0.908649087,,,,,,
69,0.146899313,14.14807034,0.024381533,32.25877762,0.90718317,,,,,,
70,0.14669168,14.19160652,0.023075236,32.73707628,0.91155082,,,,,,
71,0.143452972,13.31426048,0.022732561,32.8670311,0.913332641,,,,,,
72,0.143945724,13.4395771,0.023538189,32.56453753,0.909134865,,,,,,
73,0.140811846,12.78090572,0.022950502,32.78415442,0.911453843,,,,,,
74,0.142152488,12.89880562,0.022573562,32.92799711,0.909759581,,,,,,
75,0.138918892,12.4000597,0.02306257,32.74184465,0.907623529,,,,,,
76,0.136057064,12.20605183,0.022400279,32.99493074,0.912817061,,,,,,
77,0.134478584,12.27961159,0.02236253,33.00957918,0.914779902,,,,,,
78,0.137251481,12.87002373,0.023019964,32.75790691,0.913844287,,,,,,
79,0.130382299,12.24548531,0.022011291,33.14708948,0.92119956,,,,,,
80,0.127374828,12.20837021,0.022046039,33.13338757,0.923250258,,,,,,
81,0.130521178,12.53761292,0.022448523,32.9762435,0.923472583,,,,,,
82,0.127286971,12.03302002,0.021516884,33.34441185,0.928417921,,,,,,
83,0.130627304,12.42391014,0.021236546,33.45832109,0.930537045,,,,,,
84,0.132596523,13.0192337,0.021781126,33.23839188,0.929315925,,,,,,
85,0.130353361,12.67555237,0.021313682,33.42682838,0.932715774,,,,,,
86,0.128901988,12.58143806,0.02098464,33.5619688,0.934215009,,,,,,
87,0.130554318,12.70786762,0.021577623,33.31992865,0.932114482,,,,,,
88,0.132446393,13.18290901,0.020997709,33.55656147,0.935126841,,,,,,
89,0.131147608,13.00052452,0.020919634,33.58891726,0.935941398,,,,,,
90,0.132278174,12.93455696,0.021623299,33.30156088,0.933109164,,,,,,
91,0.130649626,12.59970093,0.021276586,33.44196081,0.935031652,,,,,,
92,0.133083194,12.89969254,0.021541959,33.33429575,0.936189651,,,,,,
93,0.133977547,13.1267271,0.02224954,33.05357695,0.933915377,,,,,,
94,0.131725222,13.09608555,0.02147189,33.36259365,0.936036885,,,,,,
95,0.132848501,13.0919714,0.021484939,33.35731745,0.937234461,,,,,,
96,0.132398978,13.24277687,0.022149747,33.09262276,0.93591094,,,,,,
97,0.132787943,13.37499046,0.021633226,33.29757452,0.93896991,,,,,,
98,0.132050708,13.06171989,0.021975029,33.16141129,0.938803554,,,,,,
99,0.132973045,13.16821575,0.022709828,32.87572145,0.936402857,,,,,,
100,0.130567849,13.02564812,0.022126622,33.10169697,0.937622428,,,,,,
101,0.134231657,13.19978523,0.02230317,33.03266764,0.936644316,,,,,,
102,0.135822192,13.35385895,0.022796934,32.84246922,0.934514701,,,,,,
103,0.132865578,12.87069893,0.022315284,33.02795172,0.936541319,,,,,,
104,0.138581842,13.92680264,0.022568027,32.93012619,0.936079025,,,,,,
105,0.137660086,13.45952606,0.023496814,32.57982016,0.93266654,,,,,,
106,0.14041096,13.72140503,0.022802392,32.84039021,0.933349371,,,,,,
107,0.139305249,13.47686577,0.022833394,32.82859087,0.932412624,,,,,,
108,0.139228791,13.5935173,0.023562944,32.55540848,0.929338038,,,,,,
109,0.14005813,13.57541275,0.02297253,32.77582169,0.931280732,,,,,,
110,0.1415952,13.82093334,0.02295487,32.78250217,0.930981576,,,,,,
111,0.144398361,13.99189377,0.02377134,32.47892618,0.927614689,,,,,,
112,0.143575206,13.8237896,0.023424385,32.60663509,0.929194868,,,,,,
113,0.142217427,13.78899574,0.023725525,32.49568224,0.927705407,,,,,,
114,0.147256032,14.36042786,0.024503279,32.21551418,0.926213145,,,,,,
115,0.147471562,14.1270628,0.023860939,32.44624853,0.928848684,,,,,,
116,0.146737963,14.25154972,0.024154713,32.33996153,0.928306699,,,,,,
117,0.149669394,14.35989475,0.024799062,32.11129427,0.925721049,,,,,,
118,0.145892769,13.86441612,0.023859832,32.44665146,0.928045392,,,,,,
119,0.146896318,14.09492397,0.023659525,32.51987934,0.927622318,,,,,,
120,0.147961691,14.30193138,0.02463208,32.16997862,0.924500287,,,,,,
121,0.146799296,14.0868969,0.023734538,32.49238253,0.928205669,,,,,,
122,0.151066139,14.54314899,0.02399602,32.39721537,0.926641643,,,,,,
123,0.147387028,14.4094162,0.024760516,32.12480545,0.923596382,,,,,,
124,0.146814123,14.18084145,0.024127878,32.3496151,0.925311387,,,,,,
125,0.146567464,14.1811161,0.024149451,32.34185457,0.92485553,,,,,,
126,0.151407465,15.01762867,0.024588531,32.18534708,0.924278259,,,,,,
127,0.146164671,14.66044235,0.023675257,32.51410484,0.926916361,,,,,,
128,0.143714905,14.457901,0.023535682,32.56546259,0.926718235,,,,,,
129,0.14820087,14.99350739,0.024005609,32.39374399,0.924373627,,,,,,
130,0.145631552,14.95933723,0.023250353,32.67140865,0.927130997,,,,,,
131,0.14753136,15.13859081,0.023072794,32.73799658,0.92730546,,,,,,
132,0.144650847,14.66836548,0.023722509,32.49678612,0.925101757,,,,,,
133,0.143425584,14.68463039,0.023175329,32.69948006,0.927093029,,,,,,
134,0.143262386,14.42308807,0.02320314,32.68906355,0.92748332,,,,,,
135,0.140149683,13.88663483,0.023925163,32.42290258,0.925529599,,,,,,
136,0.145160109,14.21767139,0.023241431,32.67474174,0.928510487,,,,,,
137,0.144138277,14.31543541,0.023302319,32.65201569,0.928027213,,,,,,
138,0.145529538,14.15025139,0.024163628,32.33675718,0.923743188,,,,,,
139,0.142643705,13.37806511,0.023358025,32.63127565,0.926776707,,,,,,
140,0.143647343,13.64162445,0.023513969,32.57348061,0.927437723,,,,,,
141,0.143854335,13.51032066,0.023800803,32.46816635,0.927415848,,,,,,
142,0.143517971,13.61746597,0.022939706,32.78824329,0.931744814,,,,,,
143,0.140373096,13.45763206,0.022655519,32.89651871,0.932250619,,,,,,
144,0.141877666,13.62333393,0.023241555,32.67469645,0.929323494,,,,,,
145,0.141159669,13.21382999,0.022229737,33.06131363,0.932082951,,,,,,
146,0.140354767,13.24097347,0.022124283,33.10261488,0.932142854,,,,,,
147,0.139481783,13.15244675,0.022765379,32.8545022,0.931096971,,,,,,
148,0.138560712,13.4047451,0.022252148,33.05256128,0.934885085,,,,,,
149,0.139035687,13.8361721,0.02236728,33.00773621,0.935961664,,,,,,
150,0.14451009,14.44331551,0.023481006,32.58566618,0.933747053,,,,,,
151,0.140259862,14.34412193,0.023030918,32.75377512,0.935326517,,,,,,
152,0.145062596,15.25288486,0.022855543,32.82016754,0.93502748,,,,,,
153,0.143687308,14.56658363,0.023788955,32.47249126,0.930042922,,,,,,
154,0.143640846,14.04097557,0.022743298,32.8629303,0.930939376,,,,,,
155,0.14325057,13.81018353,0.022715772,32.87344933,0.929598093,,,,,,
156,0.146936476,14.20059586,0.023494367,32.58072376,0.926037133,,,,,,
157,0.141917199,13.75676727,0.022644738,32.90065289,0.928242326,,,,,,
158,0.139397949,13.6289444,0.022963068,32.77940035,0.927273154,,,,,,
