,PL,TML,RMSE,PSNR,SSIM,,,,,,
0,0.123401105,13.4284668,0.017723586,35.02896547,0.957004964,,0.1414,13.6422,0.0222,33.2559,0.9242
1,0.120122597,12.97238922,0.016590914,35.60259342,0.959872484,,0.0254,2.0163,0.0049,1.7395,0.027
2,0.117101818,12.91932678,0.01637852,35.71450472,0.961233318,,,,,,
3,0.118309528,13.44114876,0.016675493,35.558424,0.960252881,,,,,,
4,0.109862953,12.48102951,0.015641904,36.11420631,0.964131415,,,,,,
5,0.110580191,12.11592579,0.015237884,36.34150505,0.965403497,,,,,,
6,0.117639579,12.8522377,0.015712865,36.07489109,0.96331507,,,,,,
7,0.12607488,13.72394943,0.015560722,36.15940332,0.961877048,,,,,,
8,0.125413686,13.32867622,0.015720889,36.0704565,0.958483696,,,,,,
9,0.125668854,13.08120537,0.016350256,35.7295084,0.951613188,,,,,,
10,0.127295375,13.06605053,0.016119814,35.85279703,0.949332178,,,,,,
11,0.133195236,13.70568943,0.016814617,35.48625946,0.945519745,,,,,,
12,0.14003104,14.21946335,0.018282479,34.75929737,0.937896848,,,,,,
13,0.143552065,14.09747028,0.018841432,34.4977212,0.934912205,,,,,,
14,0.155221149,15.13586617,0.020336894,33.83430719,0.926145673,,,,,,
15,0.166276917,16.16987038,0.022953335,32.78308392,0.913236976,,,,,,
16,0.163962334,15.76819038,0.023689251,32.50897169,0.907080472,,,,,,
17,0.169885099,16.12083244,0.024833502,32.09923983,0.899502039,,,,,,
18,0.186518878,17.59539795,0.027024241,31.36492968,0.887524903,,,,,,
19,0.175868079,16.16494751,0.027301976,31.27611876,0.882364511,,,,,,
20,0.183167234,16.99002075,0.028757494,30.82497835,0.873327136,,,,,,
21,0.183359653,16.70285606,0.030928122,30.19292831,0.863786995,,,,,,
22,0.183248073,16.42329979,0.030480562,30.3195405,0.862287283,,,,,,
23,0.190805629,16.9485054,0.031654511,29.99128819,0.858370543,,,,,,
24,0.199428663,17.74780846,0.033894841,29.3973279,0.851136625,,,,,,
25,0.193136156,17.66354561,0.033077233,29.60941553,0.853333592,,,,,,
26,0.202331156,18.35886955,0.033829298,29.41413879,0.852232397,,,,,,
27,0.206428647,18.65246201,0.036138028,28.84071112,0.845307827,,,,,,
28,0.20691888,18.8231945,0.03482822,29.16137457,0.851223886,,,,,,
29,0.207399756,18.77521133,0.035363328,29.02893782,0.850949466,,,,,,
30,0.208865404,18.87071037,0.037043676,28.62571716,0.846472919,,,,,,
31,0.208412156,18.7113533,0.035846435,28.91108036,0.852995872,,,,,,
32,0.209306359,19.03995895,0.035810679,28.91974926,0.854667366,,,,,,
33,0.215925813,19.87485886,0.036914587,28.65603924,0.853148103,,,,,,
34,0.202284664,18.43475342,0.035102285,29.09329176,0.861745,,,,,,
35,0.201465845,18.49053955,0.034805108,29.16713953,0.862775564,,,,,,
36,0.210875005,19.38355255,0.036028355,28.86711121,0.859338045,,,,,,
37,0.205175057,19.039711,0.034061812,29.35464382,0.866307259,,,,,,
38,0.191581145,17.62522507,0.032995518,29.63089943,0.871041477,,,,,,
39,0.193719655,17.60351563,0.033131015,29.59530354,0.872042835,,,,,,
40,0.186756358,16.81690979,0.030858403,30.21253109,0.880539834,,,,,,
41,0.191741034,17.26961136,0.030355616,30.35521984,0.881282687,,,,,,
42,0.192455322,17.51117325,0.031101497,30.14437437,0.879786611,,,,,,
43,0.188059121,17.47849274,0.029732566,30.53535223,0.888540506,,,,,,
44,0.185224861,17.19315147,0.029668933,30.5539608,0.891420126,,,,,,
45,0.186457515,17.42555237,0.031001855,30.1722455,0.888613939,,,,,,
46,0.180399865,16.90123177,0.029328622,30.65416574,0.896958113,,,,,,
47,0.171683997,16.20617676,0.028599497,30.87283134,0.89937371,,,,,,
48,0.173505515,16.43227768,0.029200196,30.69228411,0.896791756,,,,,,
49,0.168805659,15.89616299,0.027531015,31.20355368,0.903073013,,,,,,
50,0.170435905,15.79359627,0.027386114,31.24939203,0.901940525,,,,,,
51,0.167134792,15.50646877,0.027952863,31.07147455,0.897546887,,,,,,
52,0.16580686,15.44849396,0.026578136,31.50950909,0.901142716,,,,,,
53,0.166643247,15.68633366,0.026442386,31.55398607,0.900520742,,,,,,
54,0.166210562,15.27710152,0.027397765,31.24569654,0.896567345,,,,,,
55,0.162899256,15.06196022,0.026093516,31.66934729,0.901512623,,,,,,
56,0.161815345,15.02736664,0.025511634,31.86523438,0.903332472,,,,,,
57,0.163157642,15.04485893,0.026465096,31.54653072,0.900280893,,,,,,
58,0.1570355,14.439188,0.025184859,31.97720766,0.906275511,,,,,,
59,0.157124907,14.56136894,0.024845783,32.09494591,0.906767726,,,,,,
60,0.157768369,14.64018345,0.025661046,31.81451321,0.903897464,,,,,,
