,PL,TML,RMSE,PSNR,SSIM,,,,,,
0,0.124002039,12.68970776,0.023251168,32.67110348,0.947700441,,0.1387,12.0744,0.0287,31.0384,0.9086
1,0.118759997,12.22044754,0.022096964,33.1133461,0.950561225,,0.0276,2.1688,0.0068,1.8187,0.0312
2,0.11948137,12.45887756,0.021854259,33.20927858,0.952175379,,,,,,
3,0.119302362,12.64248085,0.022064164,33.12624931,0.951547265,,,,,,
4,0.115023173,12.14507484,0.020723449,33.6707592,0.956412911,,,,,,
5,0.113100544,11.67563057,0.020217314,33.88552904,0.958073616,,,,,,
6,0.116571419,11.72130394,0.020504359,33.76307487,0.956536174,,,,,,
7,0.119029716,11.75167847,0.019962493,33.99570227,0.95502156,,,,,,
8,0.119151071,11.72589302,0.020537818,33.74891281,0.950574338,,,,,,
9,0.123109691,12.1782465,0.021833038,33.21771622,0.942250133,,,,,,
10,0.12451753,12.16664886,0.021881724,33.19836855,0.939047575,,,,,,
11,0.127716556,12.05695629,0.022978799,32.77345181,0.933808804,,,,,,
12,0.142509401,13.36124611,0.024709165,32.14283705,0.925960779,,,,,,
13,0.145049468,13.46429443,0.025129484,31.99632645,0.922397435,,,,,,
14,0.156100512,14.18860912,0.027251491,31.29219294,0.911198258,,,,,,
15,0.169858351,15.48417664,0.031032868,30.1635623,0.896321118,,,,,,
16,0.169962347,15.08983994,0.032233663,29.83380556,0.888522625,,,,,,
17,0.176942408,15.72669029,0.033932142,29.38777447,0.879937887,,,,,,
18,0.185931981,16.36631012,0.036930829,28.65221977,0.867477059,,,,,,
19,0.188304573,16.38002777,0.03750594,28.51799965,0.860670924,,,,,,
20,0.186100245,16.3944416,0.039071754,28.16274166,0.853531837,,,,,,
21,0.188257605,15.95780849,0.042083267,27.51780987,0.844417512,,,,,,
22,0.187004864,15.4454298,0.041561391,27.62619734,0.842102885,,,,,,
23,0.194184989,16.01300049,0.043148126,27.30076075,0.836274326,,,,,,
24,0.199812025,16.37559891,0.045759652,26.7903471,0.828987002,,,,,,
25,0.197261348,16.3769722,0.044818405,26.97087288,0.829758406,,,,,,
26,0.207345337,17.52566528,0.045376271,26.86342239,0.828698635,,,,,,
27,0.211645722,17.83026505,0.047849394,26.40247107,0.822712719,,,,,,
28,0.211539418,17.84963417,0.046520531,26.6471076,0.827003062,,,,,,
29,0.208038241,17.53353119,0.047080893,26.54310703,0.826244771,,,,,,
30,0.211908966,17.83713531,0.049277928,26.14695072,0.821088612,,,,,,
31,0.210744828,17.25587273,0.047325116,26.49816513,0.828032613,,,,,,
32,0.212911576,17.61931419,0.047165558,26.52750015,0.830149233,,,,,,
33,0.211499125,17.74590492,0.048826482,26.22689009,0.82568115,,,,,,
34,0.201971501,16.68284607,0.046250418,26.69768572,0.834822416,,,,,,
35,0.204177767,17.0638485,0.045581713,26.82418585,0.837857664,,,,,,
36,0.201150522,16.61711502,0.04679241,26.59649134,0.835958838,,,,,,
37,0.201062381,16.62469864,0.044250157,27.08170414,0.842790604,,,,,,
38,0.192134529,15.79287338,0.043067086,27.31709003,0.84735173,,,,,,
39,0.190964922,15.71684074,0.043338198,27.26258278,0.848356485,,,,,,
40,0.187423527,15.49775887,0.040760085,27.7952981,0.855741084,,,,,,
41,0.191782385,15.72757912,0.039959952,27.96750069,0.856802225,,,,,,
42,0.186672181,15.63411427,0.040675331,27.81337738,0.857263446,,,,,,
43,0.186377466,16.01733398,0.038773783,28.2292366,0.866228938,,,,,,
