,PL,TML,RMSE,PSNR,SSIM,,,,,,
0,0.159471422,17.55844498,0.032687243,29.71243382,0.956200123,,0.1437,13.7465,0.0337,32.4808,0.9006
1,0.163734272,18.3900032,0.033028647,29.62218285,0.954769015,,0.0555,5.7319,0.0125,6.7707,0.0626
2,0.157635361,17.88784599,0.033403557,29.52414513,0.953378558,,,,,,
3,0.152534097,17.76225281,0.034104664,29.34372425,0.954401374,,,,,,
4,0.151784018,17.89970779,0.032792557,29.68449354,0.960777104,,,,,,
5,0.169370279,18.90509224,0.034087956,29.34798002,0.956014395,,,,,,
6,0.171332031,18.97705841,0.035464589,29.00410175,0.950359881,,,,,,
7,0.17056644,19.03251266,0.035961583,28.88322353,0.944460213,,,,,,
8,0.171491295,19.19430351,0.034484178,29.24760103,0.937158048,,,,,,
9,0.181382045,20.45310593,0.034947254,29.13173914,0.927667081,,,,,,
10,0.178767696,19.43791962,0.038628645,28.26181173,0.911109686,,,,,,
11,0.191512972,20.98283195,0.041649617,27.6077795,0.898406863,,,,,,
12,0.195993006,20.77647972,0.041942965,27.54681587,0.88897717,,,,,,
13,0.20610556,21.31399536,0.043236539,27.28298187,0.876759708,,,,,,
14,0.202903837,20.0422039,0.042957492,27.33922243,0.866294324,,,,,,
15,0.194973141,17.56895828,0.045935087,26.75710917,0.853712738,,,,,,
16,0.202165052,18.44077873,0.046027999,26.73955679,0.836187601,,,,,,
17,0.202137396,16.89978027,0.046664126,26.62033796,0.81985414,,,,,,
18,0.192453861,16.06415176,0.045509215,26.83801413,0.818538189,,,,,,
19,0.19466652,15.61238289,0.047142752,26.53170109,0.80610913,,,,,,
20,0.193926662,15.91421032,0.046020407,26.74099207,0.796070516,,,,,,
21,0.192188233,15.53544807,0.047149405,26.53047562,0.791888416,,,,,,
22,0.192170769,15.49453545,0.046589244,26.63428545,0.794422328,,,,,,
23,0.183312565,14.41469097,0.047464374,26.47264481,0.7953372,,,,,,
24,0.198737383,15.79549789,0.046261549,26.69559717,0.793910623,,,,,,
25,0.19017899,14.57512665,0.046100661,26.72585726,0.796032548,,,,,,
26,0.190564916,14.67719555,0.046270702,26.69387817,0.793813467,,,,,,
27,0.183040664,13.81304169,0.047065955,26.54586315,0.793675005,,,,,,
28,0.18144682,13.84792519,0.04513108,26.91048622,0.798245788,,,,,,
29,0.180768043,13.74286556,0.045179263,26.90121651,0.795835733,,,,,,
30,0.174601346,13.03726578,0.044455513,27.04148769,0.802904665,,,,,,
31,0.168719783,12.6225872,0.044478547,27.03698874,0.806472301,,,,,,
32,0.167161018,12.69767475,0.042465236,27.43932962,0.808105588,,,,,,
33,0.165946186,12.52808952,0.042730764,27.38518715,0.808755636,,,,,,
34,0.160028398,12.39500046,0.041599963,27.61814117,0.81700021,,,,,,
35,0.154993504,11.88588142,0.042016618,27.53157854,0.823948979,,,,,,
36,0.15049687,11.84307861,0.03949634,28.06886196,0.83515352,,,,,,
37,0.145660087,11.73625565,0.039527416,28.06203127,0.841303945,,,,,,
38,0.145832151,11.89605713,0.038508993,28.28875542,0.854369581,,,,,,
39,0.139929563,11.06805611,0.037924938,28.42150211,0.864318371,,,,,,
40,0.127174139,10.60985088,0.034794781,29.16971684,0.877842069,,,,,,
41,0.117146477,9.594058037,0.033292647,29.55303192,0.893036306,,,,,,
