,PL,TML,RMSE,PSNR,SSIM,,,,,,
0,0.179753438,18.08342171,0.044947196,26.9459486,0.926372707,,0.155,12.6426,0.0465,27.8761,0.8526
1,0.182408839,18.44514847,0.045243379,26.8888998,0.924099565,,0.0548,5.7009,0.0162,4.8821,0.0736
2,0.180041671,18.39470673,0.046192922,26.70849085,0.921478987,,,,,,
3,0.179706573,18.77273941,0.047354843,26.4927125,0.923398912,,,,,,
4,0.176368117,18.68544579,0.046791956,26.59657717,0.932110608,,,,,,
5,0.186450124,18.7067337,0.047609549,26.44611835,0.929272771,,,,,,
6,0.191219136,19.51255035,0.049368195,26.13105536,0.921516538,,,,,,
7,0.196084067,19.90295219,0.049668711,26.07834339,0.912077487,,,,,,
8,0.188313246,19.0803299,0.047298007,26.50314331,0.906918466,,,,,,
9,0.199658245,19.80615807,0.048547637,26.27663851,0.894366622,,,,,,
10,0.198079422,19.40730286,0.052631859,25.57502508,0.87391448,,,,,,
11,0.202081412,19.89720726,0.0561211,25.01747608,0.85839659,,,,,,
12,0.205036879,19.33902359,0.056764785,24.91842031,0.846335828,,,,,,
13,0.212731808,19.70144653,0.058893353,24.59867477,0.827431142,,,,,,
14,0.209772468,17.75445938,0.058683097,24.62974072,0.816050947,,,,,,
15,0.207468554,16.43800735,0.062169004,24.12852287,0.799371541,,,,,,
16,0.206614211,16.23114777,0.061944995,24.15987492,0.778406143,,,,,,
17,0.203027904,14.14923,0.062516905,24.08004999,0.757661283,,,,,,
18,0.196064919,13.23365593,0.06145259,24.2291975,0.753828585,,,,,,
19,0.199786901,13.18097401,0.06325645,23.97790432,0.74006474,,,,,,
20,0.190653279,12.4101696,0.06167097,24.19838428,0.728481293,,,,,,
21,0.192685723,12.48155212,0.062741794,24.04886246,0.721247017,,,,,,
22,0.190269589,12.17992687,0.062280014,24.11302567,0.722306252,,,,,,
23,0.1916067,12.27058411,0.064726472,23.77836227,0.71706593,,,,,,
24,0.188920662,11.0965023,0.062158115,24.13004398,0.723056555,,,,,,
25,0.193902284,11.58314896,0.061983421,24.15448904,0.722494006,,,,,,
26,0.19521983,11.75101376,0.062172849,24.12798405,0.724854231,,,,,,
27,0.18560046,10.57115746,0.063284531,23.97404909,0.721921802,,,,,,
28,0.183228165,10.83843899,0.06132156,24.24773693,0.728512526,,,,,,
29,0.1804021,10.37917137,0.060670361,24.34046745,0.727447391,,,,,,
30,0.17487666,9.901094437,0.059956275,24.44330692,0.736365438,,,,,,
31,0.172719419,9.890827179,0.060600061,24.35053825,0.738971293,,,,,,
32,0.170953453,9.918650627,0.05765269,24.78360891,0.745580673,,,,,,
33,0.165117756,9.640922546,0.057074603,24.87114191,0.747104287,,,,,,
34,0.157450557,9.583589554,0.056403346,24.9739027,0.75386095,,,,,,
35,0.158192158,9.609302521,0.057233498,24.84699488,0.761546195,,,,,,
36,0.150237858,9.092493057,0.053241316,25.47502518,0.781108022,,,,,,
37,0.14226231,8.67103672,0.052801691,25.54704428,0.789576471,,,,,,
38,0.142670318,9.265665054,0.052522358,25.59311628,0.79976517,,,,,,
39,0.137915701,8.474333763,0.052554578,25.58779001,0.812760949,,,,,,
40,0.128547907,8.142671585,0.048103169,26.35652781,0.831090093,,,,,,
41,0.124374352,8.016511917,0.046381615,26.67308331,0.848948479,,,,,,
42,0.119551741,7.611944675,0.045032464,26.9294858,0.863844573,,,,,,
43,0.115287587,8.179182053,0.042772017,27.37680435,0.878987134,,,,,,
44,0.102705784,6.830034256,0.03693717,28.65072727,0.895372093,,,,,,
45,0.089522958,6.112850189,0.033695426,29.44858074,0.913948119,,,,,,
46,0.08641775,6.509089947,0.02903717,30.74091434,0.928685427,,,,,,
47,0.063122146,4.620581627,0.023687152,32.50974178,0.949086964,,,,,,
48,0.044848286,3.835808754,0.012693406,37.92843342,0.962650597,,,,,,
49,0.031343605,2.767963171,0.008020691,41.91576004,0.967805028,,,,,,
50,0.02965183,2.460124731,0.00811376,41.81555271,0.962232769,,,,,,
51,0.031963825,2.656200886,0.00814281,41.78450584,0.941708744,,,,,,
52,0.03456261,2.732709646,0.008224737,41.69755459,0.940793753,,,,,,
53,0.028344359,1.898149967,0.007098162,42.97707558,0.937956274,,,,,,
54,0.029484186,1.987144232,0.007283198,42.75354862,0.935302079,,,,,,
55,0.030660685,2.068846941,0.007588333,42.39706516,0.929720044,,,,,,
56,0.181533724,16.8758316,0.04671742,26.61042213,0.922367454,,,,,,
57,0.180762291,17.18850327,0.044364512,27.05928564,0.921310782,,,,,,
58,0.180611402,17.5399704,0.045991991,26.74635649,0.919459701,,,,,,
59,0.189391866,19.45363235,0.045453429,26.84866667,0.929587305,,,,,,
60,0.19331941,20.48686981,0.046567142,26.63840771,0.935059607,,,,,,
61,0.185533136,20.15853882,0.046356335,26.6778183,0.92776233,,,,,,
62,0.191563964,19.94767189,0.050261278,25.97532988,0.913405299,,,,,,
