,PL,TML,RMSE,PSNR,SSIM,,,,,,
0,0.173732132,17.66434479,0.042166043,27.50074387,0.932593107,,0.1479,12.0669,0.0444,29.6737,0.8558
1,0.180122554,18.17702484,0.043482661,27.23367691,0.931415915,,0.0577,5.7243,0.0165,6.7992,0.0871
2,0.176425502,18.17083359,0.044175789,27.09631443,0.92531091,,,,,,
3,0.17255345,17.93942642,0.044777777,26.97875023,0.927206039,,,,,,
4,0.17082274,18.22143555,0.04357931,27.21439362,0.931018233,,,,,,
5,0.177172482,18.17475128,0.044774897,26.97930813,0.925316453,,,,,,
6,0.18784821,18.85976791,0.047305889,26.50169611,0.912093639,,,,,,
7,0.189485401,19.53300476,0.047700062,26.42962217,0.908595443,,,,,,
8,0.180908144,18.42749977,0.045401622,26.85857296,0.89634645,,,,,,
9,0.187166795,18.67556381,0.046779245,26.59893513,0.887711287,,,,,,
10,0.187447637,18.520298,0.050917927,25.8625865,0.866883636,,,,,,
11,0.201927304,19.90597534,0.055096976,25.17744541,0.852059186,,,,,,
12,0.20737575,20.05228996,0.055748533,25.07533073,0.835390449,,,,,,
13,0.208466828,19.44458771,0.056542296,24.95253086,0.824977458,,,,,,
14,0.199263453,16.88733482,0.056882434,24.9004364,0.813781857,,,,,,
15,0.207616836,16.62612152,0.060781229,24.32461023,0.793080747,,,,,,
16,0.20690909,16.02772903,0.059812073,24.46422338,0.76589185,,,,,,
17,0.199184,13.93446922,0.060794894,24.32265759,0.745214701,,,,,,
18,0.193296745,13.1686058,0.059367772,24.52898502,0.739824355,,,,,,
19,0.192874774,12.84585762,0.061278347,24.25385952,0.724416733,,,,,,
20,0.183568746,11.81565571,0.059920024,24.44855928,0.716120422,,,,,,
21,0.186481446,11.67463112,0.061513469,24.22059536,0.709242642,,,,,,
22,0.187351465,12.10451221,0.061209511,24.26362276,0.71534884,,,,,,
23,0.184050232,11.58411694,0.062301531,24.11002398,0.703297257,,,,,,
24,0.188844323,11.30769539,0.060763236,24.32718277,0.709696949,,,,,,
25,0.193283886,11.60813522,0.061066031,24.28400517,0.705778658,,,,,,
26,0.191866517,11.38510704,0.061030809,24.28901672,0.709992409,,,,,,
27,0.18140167,10.74203491,0.061389055,24.23818111,0.705401301,,,,,,
28,0.177662075,10.18005848,0.059783429,24.46838379,0.716208458,,,,,,
29,0.179198414,10.2125206,0.059136648,24.56286669,0.713270724,,,,,,
30,0.172260687,9.972967148,0.058399152,24.67186928,0.714418232,,,,,,
31,0.166968793,9.377689362,0.058535207,24.65165615,0.726025641,,,,,,
32,0.167601407,9.629101753,0.056251105,24.99737978,0.727502286,,,,,,
33,0.159601361,9.212952614,0.055954084,25.04336357,0.728428662,,,,,,
34,0.156529129,9.362261772,0.053980608,25.35524368,0.743894577,,,,,,
35,0.151173458,8.941790581,0.054890569,25.21004438,0.743716478,,,,,,
36,0.147972167,8.744194984,0.052094668,25.66413403,0.757734835,,,,,,
37,0.140662506,8.353549957,0.050936632,25.85939646,0.774934769,,,,,,
38,0.138319716,8.585206032,0.049811628,26.05338573,0.785906613,,,,,,
39,0.136210814,8.429626465,0.049267028,26.14887238,0.803641796,,,,,,
40,0.128951237,7.991253853,0.045687247,26.80410147,0.821849227,,,,,,
41,0.119617417,7.755398273,0.043981127,27.1346736,0.841087401,,,,,,
42,0.117224813,7.538743019,0.041961763,27.54292488,0.859323502,,,,,,
43,0.110487834,7.503523827,0.039675526,28.02954674,0.87559998,,,,,,
44,0.094845921,6.399909973,0.034907743,29.14156437,0.898385644,,,,,,
45,0.083658092,5.789123058,0.03097669,30.17930031,0.920467556,,,,,,
46,0.07415507,5.281732559,0.02704227,31.3591361,0.941117406,,,,,,
47,0.058118246,4.277884007,0.022981279,32.77251482,0.960390449,,,,,,
48,0.043668319,3.955736399,0.012282644,38.21415901,0.984402537,,,,,,
49,0.022625089,2.108582497,0.00662235,43.57974529,0.996427596,,,,,,
50,0.018949006,1.867833495,0.006160151,44.20815945,0.997679889,,,,,,
51,0.01538532,1.494310141,0.00569021,44.89741802,0.997847915,,,,,,
52,0.011318028,1.2553128,0.005384705,45.37674904,0.998762667,,,,,,
53,0.001875157,0.11893186,0.000333503,69.53410149,0.999757349,,,,,,
54,0.001724395,0.108998269,0.000306602,70.26389122,0.999794245,,,,,,
55,0.002133701,0.135170802,0.000364825,68.75505447,0.999641418,,,,,,
56,0.170892969,16.41826057,0.043688644,27.19262838,0.93353194,,,,,,
57,0.16973649,16.06525421,0.041970327,27.54115343,0.932225227,,,,,,
58,0.172143981,16.92438126,0.043224379,27.28542328,0.932124972,,,,,,
59,0.180055559,18.06528473,0.043240257,27.28223324,0.93628931,,,,,,
60,0.174272522,18.43223763,0.043349549,27.26030827,0.938574195,,,,,,
61,0.179133624,19.11816597,0.043824326,27.16569424,0.933081269,,,,,,
62,0.182053521,18.69743156,0.046690334,26.61545992,0.916749358,,,,,,
63,0.178223908,18.03668594,0.046367101,26.67580128,0.911368728,,,,,,
64,0.173633903,17.41294098,0.044649802,27.00360775,0.902368784,,,,,,
65,0.167797789,17.06945801,0.044305269,27.07089186,0.901163518,,,,,,
66,0.163205013,17.04690933,0.045601372,26.82044268,0.895029366,,,,,,
67,0.17378597,18.13165855,0.046670891,26.61907911,0.896576941,,,,,,
68,0.173253506,18.6037159,0.046708234,26.6121316,0.888730645,,,,,,
69,0.17498076,18.43815231,0.046689101,26.6156888,0.887764156,,,,,,
70,0.174681365,17.61109543,0.048346337,26.31272793,0.880764186,,,,,,
71,0.178708553,17.68132782,0.049325898,26.13849878,0.870453,,,,,,
72,0.178246483,17.39094734,0.049846385,26.04732752,0.855080009,,,,,,
73,0.187157691,16.73158836,0.051968966,25.68511963,0.832566261,,,,,,
74,0.193053931,16.07509422,0.055186559,25.16333342,0.816032827,,,,,,
75,0.195721433,15.82731247,0.056197923,25.00559568,0.796868861,,,,,,
76,0.19866246,16.1376133,0.055024382,25.18889666,0.802132487,,,,,,
77,0.19448404,15.3745327,0.055525973,25.11007547,0.796968281,,,,,,
78,0.192680389,14.14837742,0.057418555,24.81895447,0.783701003,,,,,,
79,0.194586262,13.80405617,0.05766179,24.78223801,0.779953063,,,,,,
80,0.196653888,13.70895481,0.0570575,24.87374544,0.769342721,,,,,,
81,0.19203943,12.89893341,0.057748236,24.76922512,0.768313468,,,,,,
82,0.189120293,11.98081207,0.059544977,24.50309753,0.757852077,,,,,,
83,0.20038563,12.9288435,0.060029212,24.43274736,0.746843219,,,,,,
84,0.196582139,12.08269024,0.059100363,24.56819773,0.748490036,,,,,,
85,0.186485901,11.27423096,0.058375489,24.67539072,0.74898231,,,,,,
86,0.194734097,12.42885494,0.059773985,24.46975708,0.745460629,,,,,,
87,0.19638291,12.09697533,0.057814568,24.75925446,0.757249296,,,,,,
88,0.193620861,12.26011276,0.057611126,24.78987217,0.752344489,,,,,,
89,0.186764985,11.8338089,0.056561541,24.94957447,0.754967809,,,,,,
90,0.178777039,11.45028782,0.055747531,25.07548809,0.756411552,,,,,,
91,0.181066602,11.80391979,0.055412278,25.12788057,0.763879836,,,,,,
92,0.174794942,11.19834805,0.054395825,25.28868914,0.769008517,,,,,,
93,0.167527288,10.36107159,0.052811619,25.54541111,0.779647529,,,,,,
94,0.166864604,10.86937714,0.053295542,25.46618223,0.792047441,,,,,,
95,0.16044417,10.41386509,0.050662294,25.90630293,0.805703402,,,,,,
96,0.15959698,10.60488701,0.049158458,26.16803408,0.811926603,,,,,,
97,0.154535323,10.25673103,0.04727247,26.507833,0.836474538,,,,,,
98,0.145166606,9.800124168,0.046476353,26.65535927,0.847287595,,,,,,
99,0.136411905,9.259025574,0.043917671,27.14721441,0.864983857,,,,,,
100,0.12458168,8.665346146,0.041237291,27.6941967,0.877828896,,,,,,
101,0.114875682,8.375585556,0.039072659,28.16254139,0.896636426,,,,,,
102,0.106042348,7.596223831,0.037175734,28.59480858,0.910218358,,,,,,
103,0.092050478,7.177530289,0.031918775,29.91907358,0.927684546,,,,,,
104,0.075700775,6.008832932,0.02770062,31.1502099,0.949389458,,,,,,
105,0.063471168,5.074493408,0.023960946,32.40992069,0.959927917,,,,,,
106,0.048036993,3.855235577,0.019066136,34.39474583,0.974191844,,,,,,
107,0.032062404,2.715402126,0.012049553,38.38057756,0.989203811,,,,,,
108,0.018436378,1.807885885,0.006638356,43.55877876,0.998296142,,,,,,
109,0.012897877,1.399831533,0.005409894,45.33620834,0.998950422,,,,,,
110,0.009324879,1.113267422,0.004699499,46.55894756,0.999156833,,,,,,
111,0.002434456,0.154298991,0.000401309,67.9277277,0.999351621,,,,,,
112,0.001738161,0.110371992,0.000327634,69.68818665,0.999792337,,,,,,
113,0.172436178,16.6015873,0.043773849,27.17570543,0.932466686,,,,,,
114,0.16843155,16.00871468,0.040762987,27.7946806,0.935611367,,,,,,
115,0.172311932,17.01264954,0.042440236,27.4444437,0.933473229,,,,,,
116,0.178290665,18.08148575,0.042068299,27.52089977,0.938445628,,,,,,
117,0.174420223,18.15023804,0.043260422,27.27818489,0.939864337,,,,,,
118,0.179853126,19.24952698,0.044279482,27.07594872,0.933131337,,,,,,
119,0.185826734,19.43436241,0.047545791,26.45775795,0.919115305,,,,,,
120,0.178457484,18.27166557,0.046937775,26.56955004,0.908850312,,,,,,
121,0.171837121,17.25650597,0.044729043,26.98820829,0.903418243,,,,,,
122,0.172383159,17.62563705,0.043195095,27.29131222,0.9049716,,,,,,
123,0.176285505,18.75247955,0.045743052,26.79349661,0.897274733,,,,,,
124,0.172329366,18.36262131,0.045562424,26.82786465,0.897784591,,,,,,
125,0.171753898,18.28743172,0.046742603,26.60574198,0.890944541,,,,,,
126,0.173281759,18.12754822,0.04658547,26.63499117,0.886442184,,,,,,
127,0.177229732,17.90027428,0.048673324,26.25417948,0.883881569,,,,,,
128,0.183888584,18.46426964,0.049558926,26.09756231,0.869130254,,,,,,
129,0.177598462,17.23578453,0.050188251,25.98795891,0.856052399,,,,,,
130,0.191645563,17.38161087,0.052125413,25.65901041,0.835207582,,,,,,
131,0.196376726,16.44405937,0.05481283,25.22235632,0.818292975,,,,,,
132,0.19559595,15.68335342,0.056061957,25.02663612,0.803665102,,,,,,
133,0.205734715,17.18345833,0.054789864,25.22599697,0.799877524,,,,,,
134,0.193705648,15.14421368,0.055891562,25.05307436,0.796715856,,,,,,
135,0.194479555,14.46342278,0.05718429,24.85446453,0.783570051,,,,,,
136,0.198644295,13.89802074,0.058076844,24.71993923,0.774204671,,,,,,
137,0.202916533,14.40226173,0.05769521,24.77720499,0.766681671,,,,,,
138,0.188024968,12.69323921,0.057414737,24.81953382,0.764311373,,,,,,
