,PL,TML,RMSE,PSNR,SSIM,,,,,,
0,0.18593809,18.44922829,0.042340565,27.46486664,0.938154697,,0.1632,13.2447,0.0437,29.0033,0.8686
1,0.186596885,18.57880592,0.042578299,27.41623402,0.936376691,,0.0605,5.8619,0.0159,5.8585,0.0759
2,0.187113702,18.84323883,0.043677196,27.19490528,0.931410968,,,,,,
3,0.18145144,18.68812561,0.044674054,26.99889421,0.933034122,,,,,,
4,0.186096504,19.16042709,0.044098929,27.1114397,0.940824866,,,,,,
5,0.191097528,18.71061707,0.044836294,26.96740627,0.936807036,,,,,,
6,0.198827386,19.87322426,0.046622559,26.62807703,0.928122997,,,,,,
7,0.201769873,20.0884037,0.046998531,26.55831337,0.922486544,,,,,,
8,0.200054929,19.64623833,0.044991139,26.9374609,0.913699448,,,,,,
9,0.21130389,20.43273163,0.046376076,26.67412043,0.901642919,,,,,,
10,0.207711309,20.09545135,0.049572848,26.09512329,0.884105265,,,,,,
11,0.215816796,21.08372116,0.053750105,25.39241314,0.867192149,,,,,,
12,0.220019132,20.39595222,0.054457348,25.27887106,0.854424357,,,,,,
13,0.229371399,21.05416298,0.056367233,24.97946501,0.838495076,,,,,,
14,0.229927301,18.8765831,0.056472436,24.96326923,0.823926628,,,,,,
15,0.224783555,17.92445946,0.059426483,24.52039957,0.809762001,,,,,,
16,0.223084688,17.63224411,0.058846671,24.60556269,0.789571047,,,,,,
17,0.219531253,15.74480247,0.059598159,24.49534178,0.77117908,,,,,,
18,0.212758243,14.50962257,0.058389146,24.67335701,0.766998768,,,,,,
19,0.213833958,14.22563267,0.060466934,24.36964035,0.750682354,,,,,,
20,0.207662672,13.70872688,0.058955047,24.58957911,0.741495073,,,,,,
21,0.207793295,13.51568317,0.059868842,24.45598364,0.734148681,,,,,,
22,0.204636306,13.44561005,0.05929048,24.54030037,0.73641336,,,,,,
23,0.204056486,13.1008215,0.061180215,24.26778078,0.732471526,,,,,,
24,0.20935224,12.95484734,0.059253331,24.54574585,0.736371338,,,,,,
25,0.207663819,12.85250664,0.059171345,24.55777168,0.73632133,,,,,,
26,0.210745126,13.14403439,0.05886459,24.60291862,0.737442613,,,,,,
27,0.205366373,12.31230545,0.06032905,24.38946962,0.734158576,,,,,,
28,0.197838038,11.98639679,0.058228288,24.69732046,0.740876377,,,,,,
29,0.195456475,11.55318451,0.057287339,24.83882666,0.742547512,,,,,,
30,0.193455756,11.44294167,0.056698874,24.92851257,0.75064677,,,,,,
31,0.186054468,10.95857239,0.056802358,24.91267204,0.755699933,,,,,,
32,0.183139786,10.82414532,0.054746553,25.23286343,0.760502875,,,,,,
33,0.181354553,10.95475197,0.054496109,25.27269125,0.761500299,,,,,,
34,0.17496042,10.94863987,0.053333547,25.4599905,0.768114686,,,,,,
35,0.171101928,10.44202805,0.054076862,25.33977032,0.774190962,,,,,,
36,0.160842031,9.678089142,0.05042382,25.9472847,0.792905688,,,,,,
37,0.155020177,9.657611847,0.0500618,26.00986958,0.801896214,,,,,,
38,0.155439049,9.986680031,0.049552813,26.09863281,0.812470853,,,,,,
39,0.156803131,9.946037292,0.050194699,25.98684311,0.822704971,,,,,,
40,0.138353765,8.784733772,0.045228254,26.89180374,0.844522893,,,,,,
41,0.1329813,8.592562675,0.043779328,27.17461824,0.859812081,,,,,,
42,0.129424736,8.420044899,0.042710181,27.3893714,0.875021577,,,,,,
43,0.122387409,8.693790436,0.040202454,27.91494846,0.890821755,,,,,,
