,PL,TML,RMSE,PSNR,SSIM,,,,,,
0,0.148937941,15.38220024,0.034452807,29.25550699,0.955509841,,0.1285,10.5245,0.0364,32.5533,0.9035
1,0.157386661,16.31561279,0.03465122,29.20562744,0.954089165,,0.0512,5.0481,0.0137,7.6995,0.0605
2,0.148939237,15.56551933,0.035238259,29.0597105,0.95242846,,,,,,
3,0.145648837,15.69141006,0.035960186,28.88356209,0.953100801,,,,,,
4,0.145284623,15.66494942,0.034676127,29.19938803,0.959943473,,,,,,
5,0.156894505,16.36263847,0.035726402,28.94021511,0.956104755,,,,,,
6,0.160131156,16.68548012,0.037461825,28.52822065,0.949667692,,,,,,
7,0.159885243,16.48034477,0.037930388,28.4202528,0.944865048,,,,,,
8,0.15591915,16.10848045,0.036879651,28.66426229,0.938716769,,,,,,
9,0.166366547,16.79583168,0.037124179,28.60686302,0.929668069,,,,,,
10,0.162986845,16.18790054,0.041082542,27.72685289,0.91358453,,,,,,
11,0.169602796,16.72123146,0.044327933,27.06645012,0.901604474,,,,,,
12,0.171236545,16.1336441,0.044792768,26.97584152,0.893105626,,,,,,
13,0.180833101,16.2951622,0.046509005,26.64925814,0.880069852,,,,,,
14,0.174353778,14.56083298,0.046730459,26.6079998,0.870149612,,,,,,
15,0.17739825,13.97706795,0.049684342,26.07560873,0.856455684,,,,,,
16,0.18348521,14.35301018,0.050021134,26.01692915,0.841080487,,,,,,
17,0.175909504,12.21556473,0.050752573,25.8908391,0.826329589,,,,,,
18,0.165656626,10.83017159,0.049922857,26.03401184,0.822829783,,,,,,
19,0.171910703,11.30025959,0.051717676,25.72721958,0.810673118,,,,,,
20,0.164795697,10.41673279,0.050746322,25.8919096,0.802122116,,,,,,
21,0.166438818,10.40085506,0.051803704,25.71278334,0.798810542,,,,,,
22,0.168904722,10.58472538,0.051383313,25.78355789,0.800502896,,,,,,
23,0.167446047,10.36045265,0.052128792,25.65844774,0.800717413,,,,,,
24,0.169605047,9.922449112,0.051410977,25.7788825,0.79865855,,,,,,
25,0.164758295,9.347690582,0.051079605,25.83504915,0.800992608,,,,,,
26,0.168929756,9.756084442,0.05111935,25.82829475,0.799821913,,,,,,
27,0.161138102,9.08257103,0.051821776,25.70975304,0.799215019,,,,,,
28,0.159891367,9.389133453,0.050456073,25.94173193,0.802635372,,,,,,
29,0.153840989,8.420521736,0.050258663,25.97578049,0.801140606,,,,,,
30,0.151933938,8.370457649,0.049732301,26.06722832,0.807319164,,,,,,
31,0.144502431,7.846957684,0.049416449,26.12257004,0.813482523,,,,,,
32,0.1472103,8.24493885,0.047193274,26.52239799,0.817453325,,,,,,
33,0.145096302,7.990996361,0.047509473,26.46439552,0.815777898,,,,,,
34,0.137259617,7.941131592,0.046314649,26.68563366,0.822637677,,,,,,
35,0.134389013,7.778115273,0.046645794,26.62374973,0.829380333,,,,,,
36,0.131334141,7.723929405,0.043840531,27.16248274,0.841040611,,,,,,
37,0.125658333,7.57434845,0.043567345,27.2167778,0.848885775,,,,,,
38,0.121683687,7.546029091,0.042427897,27.44697094,0.859785438,,,,,,
39,0.116351351,6.855854511,0.041655958,27.60645628,0.867955267,,,,,,
40,0.107760206,6.609157085,0.03811286,28.3785677,0.884972394,,,,,,
41,0.102330506,6.394603252,0.036459021,28.7638998,0.897369266,,,,,,
42,0.098434918,6.204663277,0.035587035,28.97416353,0.906843424,,,,,,
43,0.097367309,6.800098896,0.033253666,29.56321001,0.920948923,,,,,,
44,0.086030431,5.893161297,0.028858555,30.79450846,0.936865091,,,,,,
45,0.068987168,4.782342911,0.026181949,31.63995981,0.948340178,,,,,,
46,0.068197288,5.156485558,0.022822428,32.83276081,0.961076379,,,,,,
47,0.047017299,3.475078344,0.018546553,34.63473558,0.976495802,,,,,,
48,0.029897656,2.755263329,0.009801045,40.17454624,0.992097437,,,,,,
49,0.016349245,1.672685266,0.005513272,45.17179966,0.998498499,,,,,,
50,0.012946567,1.453199387,0.005056626,45.92276573,0.999435246,,,,,,
51,0.011073094,1.224559546,0.004172086,47.59290695,0.999215484,,,,,,
52,0.01095134,1.433448315,0.003881775,48.21936607,0.999541759,,,,,,
53,0,0,0,100,1,,,,,,
54,0,0,0,100,1,,,,,,
55,0,0,0,100,1,,,,,,
56,0.14649266,14.63984013,0.03570896,28.94445658,0.953919232,,,,,,
