,PL,TML,RMSE,PSNR,SSIM,,,,,,
0,0.166820422,19.68865395,0.033806618,29.41996574,0.954254866,,0.1467,14.4593,0.0344,32.9294,0.8993
1,0.173446536,20.49056625,0.034242503,29.30868864,0.952721536,,0.0588,6.6161,0.0127,7.1878,0.063
2,0.163009495,19.61722946,0.034459643,29.25378323,0.951589227,,,,,,
3,0.164070994,20.18615913,0.035602108,28.97048473,0.951397061,,,,,,
4,0.164133966,20.42909622,0.034265466,29.30286646,0.957862854,,,,,,
5,0.176397786,21.2060051,0.035582416,28.97529125,0.95375216,,,,,,
6,0.182879686,21.93155479,0.036697317,28.70731354,0.947447538,,,,,,
7,0.178884327,21.14352989,0.036884826,28.66304398,0.942056358,,,,,,
8,0.178985789,21.04533768,0.035329714,29.03719664,0.936216116,,,,,,
9,0.185007781,21.46935272,0.035738945,28.93716574,0.926617622,,,,,,
10,0.188745797,21.82230377,0.039495241,28.06910515,0.908491731,,,,,,
11,0.199733049,22.81896019,0.042375736,27.45765448,0.895763159,,,,,,
12,0.204968452,23.13187218,0.042860258,27.35890388,0.887192607,,,,,,
13,0.211668685,23.29048729,0.044101138,27.1110034,0.875558197,,,,,,
14,0.204430729,20.81462479,0.043705262,27.18932629,0.864837408,,,,,,
15,0.201834723,19.31321526,0.046305504,26.68734789,0.850270748,,,,,,
16,0.209368646,19.88685417,0.046407975,26.66814804,0.833153486,,,,,,
17,0.205800593,17.76190567,0.047265656,26.50908709,0.817153096,,,,,,
18,0.193478331,16.55976677,0.046000708,26.74470901,0.815522611,,,,,,
19,0.199137196,16.52523804,0.047745317,26.42138481,0.802285194,,,,,,
20,0.192566976,15.90462303,0.046469759,26.65659189,0.794822216,,,,,,
21,0.194071651,15.84456539,0.047743075,26.42179251,0.79033196,,,,,,
22,0.194671005,16.05713272,0.047159586,26.52860165,0.792669177,,,,,,
23,0.191840738,15.5722208,0.048057821,26.36471987,0.792249501,,,,,,
24,0.197776645,15.66428947,0.046756916,26.60308361,0.791929901,,,,,,
25,0.191682339,14.866045,0.046700552,26.61355972,0.794003248,,,,,,
26,0.190219909,14.85081863,0.046835445,26.5885067,0.791912615,,,,,,
27,0.185079873,14.30883694,0.047434971,26.47802591,0.792023778,,,,,,
28,0.181109622,13.77476788,0.045838881,26.77531958,0.796613097,,,,,,
29,0.18259111,14.00283813,0.04576797,26.78876638,0.793682635,,,,,,
30,0.174604774,13.15932178,0.045023765,26.93116426,0.800988555,,,,,,
31,0.16884762,12.88553238,0.044995543,26.93660975,0.805323482,,,,,,
32,0.166676566,12.56747723,0.042985503,27.33355999,0.80953753,,,,,,
33,0.163617343,12.10605335,0.043292813,27.27168322,0.808803856,,,,,,
34,0.157575279,12.05574703,0.041851453,27.56578922,0.816188753,,,,,,
35,0.155761704,12.11162567,0.042335827,27.46583939,0.822336435,,,,,,
36,0.150617301,11.77801514,0.039862219,27.98877001,0.834109366,,,,,,
37,0.146128654,11.68783283,0.039829593,27.99588203,0.841324031,,,,,,
38,0.142146081,11.51550388,0.038772821,28.22945118,0.853279531,,,,,,
39,0.135681704,10.63464069,0.038080145,28.38602781,0.862516284,,,,,,
40,0.121206351,9.769768715,0.03501996,29.11368608,0.878884614,,,,,,
41,0.113957427,9.189760208,0.033469379,29.50704575,0.892331839,,,,,,
42,0.112739861,9.14024353,0.032604124,29.73454952,0.902736485,,,,,,
43,0.111322269,9.570447922,0.030808592,30.22656202,0.916663229,,,,,,
44,0.094902143,7.772329807,0.026831092,31.42723322,0.933328211,,,,,,
45,0.079312816,6.880385399,0.024617199,32.17522621,0.94562763,,,,,,
46,0.075154528,6.488828659,0.021110784,33.50991249,0.960207462,,,,,,
47,0.054185107,4.359375954,0.017441649,35.16824722,0.975953102,,,,,,
48,0.035088163,3.380045176,0.009355107,40.57901859,0.992340684,,,,,,
49,0.017035201,1.785496473,0.005396692,45.35743237,0.998590171,,,,,,
50,0.014256017,1.636630774,0.005016251,45.99239826,0.999426901,,,,,,
51,0.010338878,1.189186573,0.003959673,48.04678917,0.999245703,,,,,,
52,0.011394674,1.517780423,0.003954832,48.0574131,0.999510288,,,,,,
53,0,0,0,100,1,,,,,,
54,0,0,0,100,1,,,,,,
55,0,0,0,100,1,,,,,,
56,0.161626369,18.18383408,0.034893129,29.14520264,0.952971578,,,,,,
57,0.165462613,18.55946732,0.033576392,29.47932005,0.95159179,,,,,,
58,0.168932259,19.37586403,0.034291912,29.29616451,0.951066852,,,,,,
59,0.172387779,19.55135345,0.034385268,29.27255154,0.955936193,,,,,,
60,0.166246533,20.09125519,0.034462437,29.25307989,0.959972978,,,,,,
61,0.174048185,21.34319687,0.03481067,29.16575193,0.954301,,,,,,
62,0.178250238,21.74538422,0.036622748,28.72498035,0.945063233,,,,,,
63,0.177911803,21.42442513,0.03663943,28.72102499,0.938373089,,,,,,
64,0.170696676,20.44571304,0.034948166,29.13151264,0.932855964,,,,,,
65,0.165356025,20.27304459,0.034271121,29.30143356,0.930049658,,,,,,
66,0.163529783,19.8490181,0.035660181,28.95632982,0.928882599,,,,,,
67,0.168261796,20.62367249,0.036464054,28.76270056,0.927864313,,,,,,
68,0.165989906,20.62449265,0.03608558,28.85332584,0.925583124,,,,,,
69,0.16659832,20.15810394,0.036019962,28.869133,0.926594973,,,,,,
70,0.173072502,20.86464691,0.037654608,28.48363638,0.917420566,,,,,,
71,0.177846357,20.52134514,0.037923947,28.42172861,0.908038735,,,,,,
72,0.17708981,20.20721436,0.039087549,28.15922976,0.898313284,,,,,,
73,0.186457261,19.97517776,0.040742487,27.79904842,0.879218996,,,,,,
74,0.196221411,19.4898243,0.043445263,27.24115133,0.864411712,,,,,,
75,0.193299949,18.86219025,0.043959226,27.13899851,0.856036186,,,,,,
76,0.194876879,18.86027908,0.043242112,27.28186131,0.855341673,,,,,,
77,0.195588097,18.51255989,0.043542296,27.22177267,0.85332334,,,,,,
78,0.191320747,17.21409225,0.043898683,27.15096951,0.843821347,,,,,,
79,0.191702634,16.61064339,0.043873142,27.15602636,0.841748893,,,,,,
80,0.19715175,16.88457489,0.043804966,27.16953278,0.836211324,,,,,,
81,0.189392462,15.75969124,0.044875111,26.95988894,0.831414163,,,,,,
82,0.191037729,15.59870434,0.046266768,26.69461727,0.827428102,,,,,,
83,0.195459396,15.62443924,0.046239223,26.69978857,0.820481181,,,,,,
84,0.194126338,15.38694859,0.04590803,26.76222801,0.820813894,,,,,,
85,0.192920625,15.41447258,0.045258127,26.88606739,0.820493102,,,,,,
86,0.20183,16.73840714,0.046350785,26.6788578,0.816970468,,,,,,
87,0.190289661,15.02907085,0.04494065,26.94721222,0.823828578,,,,,,
88,0.194373623,15.46974087,0.045204561,26.89635515,0.817282438,,,,,,
89,0.180687442,14.61292171,0.04338491,27.25322485,0.822465897,,,,,,
90,0.18462117,15.16189671,0.043162152,27.29793787,0.825718582,,,,,,
91,0.177541882,14.39658737,0.042710166,27.38937378,0.827725053,,,,,,
92,0.169820756,13.43056774,0.041948594,27.54565239,0.834201455,,,,,,
93,0.165950745,13.29158115,0.041340966,27.67238617,0.843075752,,,,,,
94,0.170816362,14.00350189,0.041291844,27.68271446,0.851082742,,,,,,
95,0.165620357,13.63650417,0.039911792,27.97797441,0.859327435,,,,,,
96,0.160231531,13.15221214,0.03876901,28.23030472,0.866399944,,,,,,
97,0.155230224,12.84054947,0.037461385,28.52832317,0.879229426,,,,,,
98,0.146106169,12.23666954,0.036935519,28.65111589,0.889907062,,,,,,
99,0.130886793,10.9744873,0.034608155,29.21643019,0.903382659,,,,,,
100,0.12271782,10.8454361,0.032651,29.72207069,0.914080918,,,,,,
101,0.117157906,10.25534439,0.030998439,30.17320395,0.925787628,,,,,,
102,0.102211982,9.078090668,0.029215386,30.68776608,0.936275899,,,,,,
103,0.092681609,8.731357574,0.025898594,31.73447609,0.94959569,,,,,,
104,0.073725879,6.77030468,0.022362765,33.00948858,0.963561118,,,,,,
105,0.057008751,5.177453995,0.018210571,34.79352713,0.974399269,,,,,,
106,0.042698875,3.966324091,0.014668259,36.67242765,0.984039664,,,,,,
107,0.030375894,3.223000765,0.009802558,40.17320633,0.994437575,,,,,,
108,0.014215006,1.62927115,0.005185079,45.70487499,0.999586105,,,,,,
