,PL,TML,RMSE,PSNR,SSIM,,,,,,
0,0.159077451,16.53890991,0.035895947,28.89909029,0.951751173,,0.1373,11.4723,0.0383,32.0321,0.8995
1,0.168271482,17.27068901,0.03657252,28.73690128,0.950725198,,0.0544,5.2817,0.0144,6.9669,0.0623
2,0.159380227,16.96585846,0.036833756,28.67507935,0.949385703,,,,,,
3,0.15724352,17.00866318,0.037651811,28.48428249,0.950112581,,,,,,
4,0.152661726,16.53731155,0.036026124,28.86765003,0.957709551,,,,,,
5,0.164577216,17.15427017,0.037110262,28.61011982,0.95323956,,,,,,
6,0.169205308,17.4161377,0.039319556,28.10782671,0.946211755,,,,,,
7,0.172971904,18.16627884,0.040004063,27.95791864,0.940841019,,,,,,
8,0.166475728,17.25297928,0.038635414,28.26028824,0.935249686,,,,,,
9,0.175762698,18.11919975,0.039533377,28.06072235,0.925303876,,,,,,
10,0.175239637,17.3802681,0.043517411,27.22673893,0.908597052,,,,,,
11,0.184906945,18.56363869,0.047188137,26.52334452,0.895377934,,,,,,
12,0.186631173,18.04458809,0.047662549,26.43645525,0.886696577,,,,,,
13,0.193998873,18.03168869,0.049086288,26.18079662,0.874760926,,,,,,
14,0.186994374,15.97328854,0.049087387,26.18060112,0.864157796,,,,,,
15,0.18820104,15.03283501,0.052526265,25.59247017,0.849565029,,,,,,
16,0.193663478,15.22348595,0.052259706,25.63666105,0.835124731,,,,,,
17,0.189281166,13.71980572,0.053729463,25.395751,0.818498194,,,,,,
18,0.177648157,12.10292816,0.052379243,25.61681509,0.81646049,,,,,,
19,0.184714004,12.52919579,0.054756992,25.2312088,0.803804278,,,,,,
20,0.178237066,11.66497707,0.053182881,25.48456192,0.795526266,,,,,,
21,0.177258566,11.65212059,0.054626636,25.25191069,0.791525662,,,,,,
22,0.178513959,11.66311264,0.054001521,25.3518796,0.793916464,,,,,,
23,0.180346906,11.70391178,0.05506343,25.18273354,0.793458164,,,,,,
24,0.18012318,11.17516804,0.053975958,25.35599232,0.791986287,,,,,,
25,0.179156721,11.02111912,0.053950101,25.36015511,0.793019354,,,,,,
26,0.179506749,11.13002968,0.054026734,25.34782648,0.792013228,,,,,,
27,0.171817213,10.27664089,0.055077497,25.18051624,0.791567385,,,,,,
28,0.170482442,10.71608639,0.05315192,25.48962116,0.795662463,,,,,,
29,0.166945413,9.823375702,0.053249091,25.47375679,0.793324411,,,,,,
30,0.165651262,9.847947121,0.052351702,25.62138319,0.800603449,,,,,,
31,0.158201933,9.394381523,0.052097518,25.66365957,0.807214081,,,,,,
32,0.157694936,9.391693115,0.049588647,26.09235525,0.811183453,,,,,,
33,0.153935462,9.225586891,0.050039213,26.01379156,0.810001612,,,,,,
34,0.147610158,8.963012695,0.048662022,26.2561965,0.816603601,,,,,,
35,0.147045523,9.176570892,0.049290944,26.14465714,0.82322371,,,,,,
36,0.143618971,9.099533081,0.045820739,26.77875757,0.83684051,,,,,,
37,0.138622344,9.029994965,0.045723386,26.79723263,0.843307853,,,,,,
38,0.135172784,9.020147324,0.044357009,27.0607543,0.854833961,,,,,,
39,0.124983661,7.831924438,0.0435591,27.21842051,0.864068329,,,,,,
40,0.119536281,8.105157852,0.039641671,28.03696156,0.880857408,,,,,,
41,0.115264334,7.881029606,0.038218185,28.35459948,0.893406212,,,,,,
42,0.110498123,7.643129826,0.037067484,28.62013817,0.90355438,,,,,,
43,0.112438411,8.774820328,0.03490578,29.14205313,0.917682886,,,,,,
44,0.094386294,7.106528759,0.030486999,30.31770468,0.93349421,,,,,,
45,0.077013351,5.904907227,0.027311241,31.27316952,0.946329236,,,,,,
46,0.072069742,5.763735771,0.023755535,32.48470306,0.959295332,,,,,,
47,0.05231908,4.15720892,0.019526068,34.18770313,0.974644601,,,,,,
48,0.032850593,3.253641129,0.010619559,39.4778657,0.991300285,,,,,,
49,0.01772517,1.883072853,0.005742953,44.81728077,0.99834913,,,,,,
50,0.015099935,1.679824114,0.005402019,45.3488636,0.99922967,,,,,,
51,0.010407418,1.078412056,0.004264549,47.40251541,0.999113083,,,,,,
52,0.011319559,1.4600811,0.004279431,47.37225533,0.999370694,,,,,,
53,0,0,0,100,1,,,,,,
54,0,0,0,100,1,,,,,,
55,0,0,0,100,1,,,,,,
56,0.15407753,15.05016232,0.037534758,28.51132631,0.950675726,,,,,,
57,0.154817373,14.9890976,0.035826422,28.91592979,0.949515879,,,,,,
58,0.158512294,16.0294342,0.037183154,28.59307528,0.948105395,,,,,,
59,0.164181173,16.75287247,0.03677386,28.68921518,0.953528643,,,,,,
60,0.15767163,16.92285538,0.03696252,28.64476681,0.957658052,,,,,,
61,0.161094099,17.46880341,0.037220083,28.58445168,0.952477872,,,,,,
62,0.16356957,17.24263573,0.039809816,28.00019741,0.943379462,,,,,,
63,0.16548045,17.24211311,0.039528131,28.06187391,0.937678397,,,,,,
64,0.158254445,16.31499863,0.03776826,28.4574604,0.932378292,,,,,,
65,0.156491607,16.49181366,0.037156083,28.59940052,0.928963006,,,,,,
66,0.153305799,15.96486664,0.038611241,28.26572418,0.929904342,,,,,,
67,0.157962948,16.58470917,0.039631449,28.03920031,0.927533448,,,,,,
68,0.158146754,17.08724594,0.039408103,28.08828831,0.924859524,,,,,,
69,0.157823309,16.78086853,0.039785702,28.00545931,0.925801456,,,,,,
70,0.159608305,16.52386093,0.041270319,27.68724442,0.917506754,,,,,,
71,0.166226953,16.61805725,0.041702125,27.59683609,0.908105016,,,,,,
72,0.16743964,16.38824844,0.04295633,27.33945608,0.897052824,,,,,,
73,0.172351748,15.91300964,0.044755101,26.98314905,0.880437255,,,,,,
74,0.182559013,15.75435257,0.047776375,26.41573668,0.866281033,,,,,,
75,0.181869626,15.14961815,0.048503142,26.28460169,0.857204795,,,,,,
76,0.182868198,15.14496326,0.047594003,26.44895554,0.856859446,,,,,,
77,0.183716789,14.95298862,0.048540723,26.2778759,0.853273153,,,,,,
78,0.183248192,13.71817207,0.049765706,26.0613966,0.842134476,,,,,,
79,0.181635976,13.23925495,0.049328547,26.13803387,0.840767324,,,,,,
80,0.190271348,13.76950169,0.049360182,26.13246441,0.834435582,,,,,,
81,0.181050226,12.52317429,0.050674275,25.90425014,0.830708265,,,,,,
82,0.181817234,12.04571533,0.052247874,25.63862801,0.826933742,,,,,,
83,0.186770007,12.39135075,0.052290346,25.63157082,0.820092976,,,,,,
84,0.183523268,11.86330223,0.051676128,25.73420048,0.820587814,,,,,,
85,0.178611726,11.54577255,0.051428095,25.77599049,0.818816602,,,,,,
86,0.191257179,12.98576546,0.052345473,25.62241793,0.816174865,,,,,,
87,0.181592047,11.74057198,0.05042012,25.94792128,0.825619102,,,,,,
88,0.186827928,11.89100361,0.050822824,25.87882519,0.81723839,,,,,,
89,0.171872184,11.22974491,0.049275573,26.14736557,0.821920216,,,,,,
90,0.172992989,11.74726582,0.049230382,26.1553359,0.823987305,,,,,,
91,0.171480879,11.67346859,0.048792902,26.23286724,0.82634604,,,,,,
92,0.163183272,10.69117355,0.047719087,26.42615795,0.832388997,,,,,,
93,0.157470137,10.17838097,0.046837267,26.58816814,0.840624034,,,,,,
94,0.162814155,11.05429649,0.046424478,26.66505814,0.849516213,,,,,,
95,0.158742726,10.88492203,0.045083646,26.91962004,0.856502056,,,,,,
96,0.151554137,10.36026573,0.043324932,27.26524115,0.864925325,,,,,,
97,0.148763821,10.55115891,0.041256957,27.69005537,0.878541291,,,,,,
98,0.142554462,10.19710159,0.040772941,27.79255867,0.888984561,,,,,,
99,0.129660398,9.445318222,0.038305044,28.33487988,0.901842892,,,,,,
100,0.120176598,9.008069992,0.03624836,28.81423235,0.911653519,,,,,,
101,0.116121724,9.068443298,0.03422476,29.31319237,0.924131811,,,,,,
102,0.102823913,8.044101715,0.032491643,29.76456642,0.933687806,,,,,,
103,0.088058621,7.539986134,0.028365001,30.94434261,0.94841826,,,,,,
104,0.073652133,6.248556614,0.02465767,32.16095686,0.961948156,,,,,,
105,0.058006395,4.773833275,0.020525474,33.75413418,0.972526908,,,,,,
106,0.044857763,3.878034115,0.016791189,35.49836874,0.98256129,,,,,,
107,0.028142232,2.734010696,0.010438027,39.62762833,0.994197249,,,,,,
108,0.01342469,1.482264757,0.005326522,45.47111034,0.999507546,,,,,,
109,0.010788331,1.43543601,0.004571897,46.79805279,0.999601662,,,,,,
110,0.00764154,1.202316284,0.004045406,47.86073208,0.999580383,,,,,,
111,0,0,0,100,1,,,,,,
112,0,0,0,100,1,,,,,,
113,0.156282395,15.37522411,0.037433416,28.53481054,0.950255871,,,,,,
114,0.155516386,14.955513,0.035300434,29.04439926,0.951562762,,,,,,
115,0.158774912,16.0226059,0.036228098,28.81908894,0.949739873,,,,,,
116,0.159691244,16.36581421,0.035829753,28.91512394,0.956296027,,,,,,
117,0.155646086,16.76774979,0.036707167,28.7049818,0.958583534,,,,,,
118,0.164987639,18.02710342,0.036833156,28.67522001,0.954464793,,,,,,
