,PL,TML,RMSE,PSNR,SSIM,,,,,,
0,0.143580064,14.55375671,0.033198766,29.57756042,0.958099186,,0.1235,9.9207,0.0358,32.7189,0.9054
1,0.148243427,15.00194931,0.033358384,29.53589916,0.956744671,,0.049129978,4.720742827,0.013494713,6.8188283,0.059964495
2,0.141185194,14.42258167,0.034240939,29.3090868,0.954700828,,,,,,
3,0.141519323,15.06886292,0.03472374,29.18746948,0.95560658,,,,,,
4,0.139307335,15.17043209,0.033375658,29.53140259,0.962320209,,,,,,
5,0.148404256,15.2270031,0.034636587,29.2092967,0.958302617,,,,,,
6,0.1535272,15.66951752,0.036463287,28.76288414,0.951874435,,,,,,
7,0.154338926,15.68507385,0.037012208,28.6330986,0.946471035,,,,,,
8,0.148450226,15.13611412,0.0360029,28.87325048,0.940784991,,,,,,
9,0.157237232,15.71509361,0.036442243,28.76789808,0.931649089,,,,,,
10,0.155243516,15.06217194,0.040705975,27.80683517,0.91485709,,,,,,
11,0.162670985,15.74231434,0.043870229,27.15660095,0.903214574,,,,,,
12,0.165282995,15.35684586,0.044334177,27.06522703,0.89503777,,,,,,
13,0.17668359,15.99938488,0.045910761,26.76171064,0.882088959,,,,,,
14,0.167664006,13.86610794,0.04604749,26.73588037,0.872313976,,,,,,
15,0.171389222,13.27906036,0.048791677,26.2330842,0.858829975,,,,,,
16,0.177303717,13.49231243,0.049470276,26.11311436,0.843439281,,,,,,
17,0.171062753,11.49135303,0.050521243,25.9305191,0.827515066,,,,,,
18,0.162323684,10.48624039,0.049662776,26.07938051,0.824564874,,,,,,
19,0.169072703,10.69659996,0.051494472,25.7647872,0.812270701,,,,,,
20,0.161462814,9.913778305,0.050692663,25.90109825,0.803138196,,,,,,
21,0.164394215,10.02979565,0.0515371,25.75760126,0.80051893,,,,,,
22,0.167488575,10.20370483,0.051220458,25.811131,0.801990151,,,,,,
23,0.164051652,9.790802002,0.051687252,25.73233128,0.802241445,,,,,,
24,0.167253226,9.565406799,0.051105294,25.83068132,0.800514519,,,,,,
25,0.161365673,8.939752579,0.050723165,25.89587212,0.802735209,,,,,,
26,0.164729059,9.304888725,0.050933365,25.85995197,0.801483393,,,,,,
27,0.158106178,8.561707497,0.051725972,25.72582722,0.800253272,,,,,,
28,0.156245604,8.844200134,0.050095756,26.00398064,0.80437535,,,,,,
29,0.153701693,8.225502014,0.049967375,26.02627039,0.802443326,,,,,,
30,0.147712171,7.971098423,0.049201116,26.16050005,0.809368014,,,,,,
31,0.140999198,7.5485425,0.048984844,26.19876623,0.815105557,,,,,,
32,0.143895328,7.720190525,0.046956614,26.56606436,0.8185215,,,,,,
33,0.141772687,7.694864273,0.047247227,26.51247263,0.817159355,,,,,,
34,0.13179557,7.345869064,0.046186145,26.70976639,0.823944211,,,,,,
35,0.134270191,7.731208801,0.046558265,26.64006472,0.830092192,,,,,,
36,0.129669011,7.478970528,0.043700185,27.1903348,0.84209305,,,,,,
37,0.123071089,7.21419239,0.043191023,27.29212999,0.850382864,,,,,,
38,0.119639009,7.070208073,0.042080496,27.51838207,0.861064672,,,,,,
39,0.116660468,6.903531075,0.041383684,27.66341686,0.869678617,,,,,,
40,0.106120467,6.306150436,0.037854735,28.43759537,0.885943651,,,,,,
41,0.099976644,6.06340456,0.036090307,28.85218859,0.898863614,,,,,,
42,0.096728675,5.971172333,0.035196789,29.06993866,0.908017337,,,,,,
43,0.093060747,6.323489189,0.03259531,29.73689795,0.923070431,,,,,,
44,0.083399609,5.645652771,0.028527947,30.89458942,0.938160479,,,,,,
45,0.064880639,4.290915489,0.025591346,31.8381381,0.950125813,,,,,,
46,0.064045057,4.667114735,0.02209793,33.11296701,0.963088512,,,,,,
47,0.043772981,3.197975636,0.017658865,35.06074429,0.97765404,,,,,,
48,0.028073289,2.644327164,0.00944332,40.49749851,0.992896676,,,,,,
49,0.018101897,1.842191458,0.005399039,45.35365582,0.998483658,,,,,,
50,0.012526644,1.375002027,0.004933786,46.13637447,0.999387443,,,,,,
51,0.009694126,1.069910765,0.00404348,47.86486626,0.999260247,,,,,,
52,0.007835562,0.962877989,0.003615693,48.83613586,0.999590755,,,,,,
53,0,0,0,100,1,,,,,,
54,0,0,0,100,1,,,,,,
55,0,0,0,100,1,,,,,,
56,0.139399141,13.71529007,0.034810163,29.1658783,0.955757618,,,,,,
57,0.143463314,14.18706703,0.033189286,29.58003998,0.955369651,,,,,,
58,0.145713478,14.48482704,0.034324072,29.28802252,0.953850389,,,,,,
59,0.147803187,15.1817379,0.034206346,29.31786537,0.958548427,,,,,,
60,0.144555897,15.48817253,0.034265034,29.30297613,0.962471604,,,,,,
61,0.146507353,15.67595387,0.034395695,29.26991701,0.957235217,,,,,,
62,0.146341473,15.17020035,0.036741365,28.69689465,0.948510885,,,,,,
63,0.15297699,15.70166397,0.03653349,28.74617577,0.943330228,,,,,,
64,0.141155303,14.15207481,0.03508281,29.09811258,0.938083231,,,,,,
65,0.139566749,14.29983711,0.034362961,29.27818775,0.935021579,,,,,,
66,0.136844963,14.17116547,0.036188181,28.82866383,0.934523582,,,,,,
67,0.141171917,14.44959259,0.036807474,28.68128061,0.932896137,,,,,,
68,0.142341614,15.21037579,0.037083402,28.6164093,0.929728508,,,,,,
69,0.140809894,14.87679672,0.036719847,28.7019825,0.931624949,,,,,,
70,0.1442011,14.7724762,0.038417559,28.30940485,0.923978209,,,,,,
71,0.149046659,14.5614624,0.039002448,28.17816257,0.913737893,,,,,,
72,0.1540052,15.07647133,0.040063221,27.94508219,0.904006898,,,,,,
73,0.153401315,13.77533627,0.042124391,27.50932693,0.887136221,,,,,,
74,0.166733295,13.86979675,0.044926383,26.94997072,0.873386264,,,,,,
75,0.163574398,12.86591148,0.045540176,26.83210611,0.865157545,,,,,,
76,0.165538549,13.18244743,0.044907883,26.95354939,0.864123166,,,,,,
77,0.164378032,12.66585732,0.045701697,26.8013525,0.861193061,,,,,,
78,0.166073382,11.9773407,0.046734966,26.60716057,0.849902391,,,,,,
79,0.165598243,11.63281727,0.046492375,26.65236473,0.848995566,,,,,,
80,0.170807868,11.60469055,0.046418358,26.66620493,0.844186544,,,,,,
81,0.166990459,11.26546669,0.047678351,26.43357515,0.8393116,,,,,,
82,0.167120501,10.65339088,0.048926126,26.20918274,0.835844755,,,,,,
83,0.171537846,10.9500885,0.049063276,26.18486881,0.828919291,,,,,,
84,0.168928623,10.52585888,0.048309077,26.31942511,0.830817282,,,,,,
85,0.167853147,10.16067028,0.04833569,26.31464243,0.8277542,,,,,,
86,0.168054894,10.50490761,0.048911631,26.21175766,0.826137245,,,,,,
87,0.166030496,10.12098885,0.047338877,26.49564028,0.835353076,,,,,,
88,0.168744028,10.37557793,0.047443416,26.47648096,0.827383339,,,,,,
89,0.154248729,9.385089874,0.045853015,26.77264214,0.832780004,,,,,,
90,0.155741096,9.776711464,0.045640215,26.81304693,0.834205091,,,,,,
91,0.151131883,9.605165482,0.045284562,26.88099623,0.836646736,,,,,,
92,0.148250759,9.033452034,0.044493549,27.03405857,0.841859818,,,,,,
93,0.143422037,8.964079857,0.043575611,27.21513033,0.850192428,,,,,,
94,0.145383805,9.064974785,0.043330196,27.26418734,0.859429359,,,,,,
95,0.142179012,9.116210938,0.041939728,27.54748821,0.866161466,,,,,,
96,0.137785077,8.85691452,0.040234711,27.90798187,0.874006331,,,,,,
97,0.134180993,8.949260712,0.038477067,28.29596043,0.887057841,,,,,,
98,0.124579541,8.125375748,0.037697859,28.47366571,0.897919595,,,,,,
99,0.113098606,7.754126549,0.035253301,29.05600309,0.910166442,,,,,,
100,0.102494836,7.039402962,0.033085745,29.60718155,0.919853389,,,,,,
101,0.096837148,6.917430878,0.031090546,30.14743328,0.931467175,,,,,,
102,0.084455408,6.157216072,0.029482545,30.60869932,0.94066155,,,,,,
103,0.073115714,5.505167961,0.025552619,31.85129166,0.954088867,,,,,,
104,0.062575623,4.914526939,0.022272749,33.04452181,0.966391265,,,,,,
105,0.047846153,3.917017937,0.018679891,34.5725131,0.975394249,,,,,,
106,0.03999361,3.483749628,0.015309106,36.3010025,0.984269202,,,,,,
107,0.024143441,2.314455032,0.009620958,40.3356266,0.994808197,,,,,,
108,0.012046319,1.299649,0.004954191,46.10052586,0.999581575,,,,,,
109,0.009219948,1.19969058,0.003961394,48.04301262,0.999704361,,,,,,
110,0.005812642,0.872336268,0.00342908,49.29641247,0.999696255,,,,,,
111,0,0,0,100,1,,,,,,
112,0,0,0,100,1,,,,,,
113,0.140121847,13.47045803,0.034603782,29.21752691,0.955496013,,,,,,
114,0.144998372,13.9029274,0.032636158,29.72601891,0.956863225,,,,,,
115,0.142705172,14.35366344,0.03330227,29.55052376,0.95545125,,,,,,
116,0.146719635,14.81663227,0.033406507,29.52337742,0.961198211,,,,,,
117,0.144966498,15.46591949,0.033961944,29.38014984,0.963033557,,,,,,
118,0.147256717,15.85484219,0.033945397,29.38438177,0.959514737,,,,,,
119,0.147124603,15.27027702,0.036473904,28.76035452,0.949525833,,,,,,
120,0.151577145,15.45960808,0.037072033,28.61907244,0.942539275,,,,,,
121,0.141550452,14.07904434,0.035213761,29.06575203,0.937588751,,,,,,
122,0.138912603,14.12339592,0.033674754,29.45391178,0.938503683,,,,,,
123,0.137318179,14.27436352,0.035765894,28.93061876,0.935708046,,,,,,
124,0.139000714,14.38479614,0.035885274,28.90167475,0.935465217,,,,,,
