,PL,TML,RMSE,PSNR,SSIM,,,,,,
0,0.177687883,17.94366264,0.044841863,26.96632624,0.925414741,,0.1541,12.5484,0.0459,28.5441,0.857
1,0.178906083,18.19186211,0.044876244,26.95966959,0.923386097,,0.0574,5.8039,0.0167,5.8474,0.0767
2,0.178776711,18.31531143,0.04605246,26.73494339,0.917193353,,,,,,
3,0.178532749,18.54272461,0.046565529,26.63870811,0.922507107,,,,,,
4,0.175557315,18.63004112,0.04647848,26.65496111,0.921788692,,,,,,
5,0.185523182,18.53871155,0.047188982,26.52318716,0.917244077,,,,,,
6,0.192655057,19.60840034,0.048943054,26.20617867,0.909514129,,,,,,
7,0.191175967,19.56097412,0.04893415,26.20775938,0.904046893,,,,,,
8,0.188221335,19.07778168,0.046862289,26.5835309,0.900214314,,,,,,
9,0.199064717,19.70144463,0.048235871,26.33259773,0.888730645,,,,,,
10,0.198027313,19.38559532,0.052292984,25.63113213,0.871272087,,,,,,
11,0.20646134,20.34735489,0.05632345,24.98621464,0.850942731,,,,,,
12,0.209842294,19.82058525,0.057051979,24.87458706,0.844758391,,,,,,
13,0.216370478,20.13461304,0.05937583,24.52780724,0.827358484,,,,,,
14,0.211580887,17.90798187,0.058792438,24.61357117,0.814537883,,,,,,
15,0.20882383,16.60252762,0.062542282,24.07652617,0.79765445,,,,,,
16,0.208604798,16.41031075,0.061734591,24.18942928,0.77899003,,,,,,
17,0.209530696,14.79757214,0.062370598,24.1004014,0.759259403,,,,,,
18,0.198303252,13.35048485,0.061069608,24.28349733,0.754733384,,,,,,
19,0.202267796,13.33344746,0.063039735,24.00771379,0.737335324,,,,,,
20,0.196269065,12.79576969,0.061375808,24.24005508,0.729428887,,,,,,
21,0.194701403,12.50435543,0.062421206,24.09335613,0.720747888,,,,,,
22,0.191797078,12.1005106,0.062028561,24.14816618,0.722245872,,,,,,
23,0.195028454,12.37439156,0.064356893,23.82809877,0.718809426,,,,,,
24,0.193188563,11.45445824,0.061961096,24.15761709,0.724117875,,,,,,
25,0.195453048,11.59589195,0.061981175,24.15480375,0.725162268,,,,,,
26,0.196105868,11.69367599,0.061833929,24.17546272,0.724138856,,,,,,
27,0.186560214,10.48771477,0.06275291,24.04732227,0.720341563,,,,,,
28,0.185098499,10.91035271,0.060870394,24.31187868,0.729611516,,,,,,
29,0.182557315,10.49910736,0.060242232,24.40197945,0.727342367,,,,,,
30,0.17763412,10.10324478,0.059400167,24.52424526,0.737575889,,,,,,
31,0.172225028,9.657832146,0.059915252,24.44925308,0.738339603,,,,,,
32,0.171145514,9.75288868,0.057110835,24.86562967,0.745464981,,,,,,
33,0.1717861,10.02854252,0.056896515,24.89828825,0.749371052,,,,,,
34,0.15833652,9.512088776,0.055635419,25.09297371,0.755451202,,,,,,
35,0.159089565,9.450144768,0.056362875,24.98013735,0.758652627,,,,,,
36,0.149535879,8.690371513,0.052563522,25.58631182,0.779246569,,,,,,
37,0.14340511,8.591460228,0.052220657,25.64315319,0.787715316,,,,,,
38,0.142767444,8.938201904,0.051903836,25.69601059,0.798347175,,,,,,
39,0.137741357,8.489917755,0.052045383,25.67235708,0.808940887,,,,,,
40,0.128387481,7.901618004,0.047314618,26.50009394,0.831474066,,,,,,
41,0.121538118,7.717065811,0.045568958,26.82661772,0.845227003,,,,,,
42,0.115285859,7.183200359,0.044260569,27.07966089,0.856780648,,,,,,
43,0.110631391,7.815570831,0.041852299,27.56561279,0.870513022,,,,,,
44,0.098186269,6.604641914,0.036374692,28.78401279,0.889555931,,,,,,
45,0.083970785,5.779460907,0.033093259,29.60520983,0.909356475,,,,,,
46,0.082448423,6.406880379,0.028173015,31.00333214,0.921084762,,,,,,
47,0.061110951,4.566825867,0.023658823,32.52013683,0.941759527,,,,,,
48,0.043363489,3.88972044,0.012287414,38.21078777,0.960799754,,,,,,
49,0.027408794,2.485442877,0.006982561,43.11969757,0.977596104,,,,,,
50,0.025208274,2.168166161,0.006779879,43.37554932,0.979017019,,,,,,
51,0.025039511,2.158987999,0.006105681,44.28530693,0.988025248,,,,,,
52,0.022764761,1.952141762,0.005648946,44.96063709,0.986395717,,,,,,
53,0.014694797,0.933405638,0.002429081,52.2910881,0.985217571,,,,,,
54,0.015427215,0.979392767,0.002542506,51.89469337,0.982888281,,,,,,
55,0.016354792,1.038920522,0.002754625,51.19869232,0.982693911,,,,,,
56,0.177928716,16.61511803,0.046240881,26.69947863,0.922825873,,,,,,
57,0.177804261,16.93765259,0.043981474,27.13460445,0.923411191,,,,,,
58,0.178679168,17.5934639,0.045371089,26.8644166,0.92173785,,,,,,
59,0.18621999,19.18607903,0.045093358,26.91774845,0.927106559,,,,,,
60,0.191074789,20.34021759,0.04600703,26.74351692,0.926989198,,,,,,
61,0.182826638,19.91709518,0.045768615,26.78864479,0.926571727,,,,,,
62,0.190653503,19.75420761,0.050029807,26.01542473,0.914212167,,,,,,
63,0.188094497,19.19540977,0.049608238,26.08892441,0.904747963,,,,,,
64,0.182424486,18.52078438,0.046399198,26.66979074,0.900500774,,,,,,
65,0.172862023,17.78910828,0.044888262,26.95734501,0.895551205,,,,,,
66,0.174870789,18.1264267,0.047981627,26.37850046,0.893644691,,,,,,
67,0.177681327,19.00655937,0.047980547,26.37869596,0.8936221,,,,,,
68,0.182247788,19.66791534,0.047945198,26.3850975,0.889204681,,,,,,
69,0.184994861,19.43417358,0.04793841,26.38632774,0.889744461,,,,,,
70,0.182310015,18.63157463,0.050032966,26.01487637,0.87815094,,,,,,
71,0.189406037,18.88711166,0.051064361,25.83764315,0.869458079,,,,,,
72,0.186722696,17.85483742,0.051694326,25.73114157,0.858780861,,,,,,
73,0.189929068,16.7899704,0.053625461,25.41257858,0.836993217,,,,,,
74,0.199724615,16.79651642,0.056903265,24.8972559,0.820084572,,,,,,
75,0.201425597,16.28706741,0.057854615,24.75323915,0.806811035,,,,,,
76,0.203187808,16.69094849,0.056470376,24.96358633,0.804925859,,,,,,
77,0.200343356,15.60096359,0.057600453,24.79148149,0.804562151,,,,,,
78,0.207847342,15.8262558,0.058763165,24.61789608,0.78512156,,,,,,
79,0.202795208,14.47763157,0.058482446,24.6594882,0.784862936,,,,,,
80,0.205251724,14.26588917,0.057395708,24.82241154,0.779710591,,,,,,
81,0.200419903,13.61341095,0.059184335,24.55586433,0.775824904,,,,,,
82,0.200745076,13.05201244,0.060553845,24.35716629,0.767131627,,,,,,
83,0.20043914,12.50449753,0.060894009,24.30850983,0.761090755,,,,,,
84,0.202739775,12.65577698,0.060002532,24.43660736,0.760906935,,,,,,
85,0.194897324,12.15851974,0.059372626,24.52827454,0.761329055,,,,,,
86,0.206265271,13.34883213,0.060408559,24.3780303,0.759272218,,,,,,
87,0.199376136,12.18843269,0.059246574,24.54673529,0.763445079,,,,,,
88,0.201783463,12.97506618,0.058829941,24.6080327,0.761576295,,,,,,
89,0.187666029,11.78469658,0.056801759,24.91276503,0.766138136,,,,,,
90,0.189123571,12.09597778,0.05655637,24.9503684,0.76790005,,,,,,
91,0.191508502,12.57202721,0.05607057,25.02530098,0.770887733,,,,,,
92,0.182734996,11.51590538,0.055248972,25.15351534,0.778205454,,,,,,
93,0.178640097,11.44862366,0.054220356,25.31675339,0.789920092,,,,,,
94,0.175898343,11.39938545,0.054026362,25.34788609,0.803706646,,,,,,
95,0.173552901,11.24626923,0.052129306,25.65836191,0.813458145,,,,,,
96,0.165997803,10.93030357,0.050077625,26.00712538,0.826336324,,,,,,
97,0.158356696,10.56037235,0.048282605,26.32418633,0.839109659,,,,,,
98,0.15217495,10.34215546,0.047037665,26.55108452,0.852855921,,,,,,
99,0.138057247,9.56699276,0.044618584,27.00968504,0.868597448,,,,,,
100,0.124178603,8.778787613,0.041248441,27.69184828,0.885557711,,,,,,
101,0.116204873,8.491305351,0.039407197,28.08848858,0.899018168,,,,,,
102,0.106456265,7.870350838,0.037218772,28.58475924,0.909006357,,,,,,
