,PL,TML,RMSE,PSNR,SSIM,,,,,,
0,0.169647098,20.57739258,0.032329228,29.80809212,0.956890225,,0.1505,15.7372,0.0332,33.2597,0.8998
1,0.17567569,21.61286736,0.032802936,29.68174458,0.954855263,,0.0601,6.9484,0.0123,7.4373,0.0636
2,0.16835466,20.78547668,0.03339887,29.52536345,0.953334808,,,,,,
3,0.170785189,21.45561981,0.034119118,29.34004307,0.953849018,,,,,,
4,0.166026413,20.99142647,0.033011097,29.62680101,0.959669471,,,,,,
5,0.180856317,22.09629631,0.034147609,29.33279276,0.95577383,,,,,,
6,0.186321735,22.42913818,0.035449445,29.00781155,0.949361622,,,,,,
7,0.183070511,21.81598473,0.035701878,28.94617796,0.943102717,,,,,,
8,0.183324814,21.96895218,0.034423515,29.26289558,0.93701756,,,,,,
9,0.192458123,22.75980759,0.034716349,29.18931961,0.927096963,,,,,,
10,0.195328236,23.20777321,0.038390689,28.31548214,0.909023941,,,,,,
11,0.205279753,24.38838768,0.040986523,27.74717808,0.896308303,,,,,,
12,0.207882509,24.18786049,0.041363727,27.66760588,0.887905419,,,,,,
13,0.218401611,24.77802277,0.042526104,27.42688894,0.876412272,,,,,,
14,0.212638155,22.60323715,0.042119101,27.51041889,0.865915895,,,,,,
15,0.207614243,20.80563736,0.045123953,26.91185713,0.849938989,,,,,,
16,0.211879283,21.48852158,0.045332082,26.87188625,0.833360314,,,,,,
17,0.205592602,18.86681747,0.045627829,26.81540489,0.817900658,,,,,,
18,0.199114054,18.51465225,0.0446513,27.00331688,0.81457901,,,,,,
19,0.200179785,18.04766464,0.046160311,26.71462536,0.80144161,,,,,,
20,0.196274936,17.75490189,0.045206275,26.89602613,0.793541491,,,,,,
21,0.196673945,17.69130707,0.046285216,26.69115305,0.788681746,,,,,,
22,0.197600976,17.91272163,0.045819741,26.77894831,0.790386975,,,,,,
23,0.195822895,17.38404655,0.046449035,26.66046619,0.790661991,,,,,,
24,0.202384651,17.63832855,0.04532015,26.87417269,0.791344285,,,,,,
25,0.194095224,16.54993057,0.045038909,26.92824364,0.793704331,,,,,,
26,0.198551059,17.1832428,0.045295846,26.87883377,0.791695237,,,,,,
27,0.190632492,16.38100052,0.046000689,26.74471378,0.790613949,,,,,,
28,0.183533937,15.44162369,0.044287708,27.07433701,0.796174705,,,,,,
29,0.187235504,15.90173531,0.044225127,27.08661795,0.793456256,,,,,,
30,0.179134846,15.11429024,0.043547582,27.22071886,0.800449789,,,,,,
31,0.174696013,14.68390274,0.043736469,27.18312502,0.803946972,,,,,,
32,0.170897126,14.16928673,0.041849814,27.56612778,0.807987034,,,,,,
33,0.165230602,13.59692955,0.041853279,27.56541014,0.807525277,,,,,,
34,0.159588754,13.69412994,0.040724438,27.80289888,0.81504941,,,,,,
35,0.154960662,13.28181267,0.041149266,27.71275759,0.82116586,,,,,,
36,0.152890503,13.01485443,0.038882788,28.20485115,0.833051622,,,,,,
37,0.142761678,12.20045662,0.038936056,28.19296122,0.839789629,,,,,,
38,0.143861547,12.51184273,0.037891872,28.42907906,0.852446318,,,,,,
39,0.138326213,11.61374474,0.03730819,28.56391668,0.861965001,,,,,,
40,0.124579996,10.55879307,0.034469102,29.25139904,0.877855003,,,,,,
41,0.115508132,9.796929359,0.032892857,29.65796709,0.891946673,,,,,,
42,0.113408685,9.631302834,0.032096997,29.87071276,0.902032912,,,,,,
43,0.111103579,9.732821465,0.030252971,30.38463831,0.916767061,,,,,,
44,0.093879685,7.845923424,0.026162757,31.64632797,0.933947265,,,,,,
45,0.079771578,7.21706152,0.02396916,32.40694284,0.946412086,,,,,,
46,0.075025193,6.697007179,0.020355975,33.82616043,0.961321115,,,,,,
47,0.055154707,4.772818089,0.016666574,35.56307077,0.976831079,,,,,,
48,0.033294685,3.369590282,0.008870441,41.04109287,0.992721438,,,,,,
49,0.017617077,2.021715879,0.005134863,45.78940392,0.998477101,,,,,,
50,0.015412014,1.970258474,0.004900583,46.19503021,0.999343514,,,,,,
51,0.012354985,1.520319462,0.004071951,47.8039217,0.999192357,,,,,,
52,0.011086499,1.498699903,0.003881038,48.22101116,0.999522924,,,,,,
53,0,0,0,100,1,,,,,,
54,0,0,0,100,1,,,,,,
55,0,0,0,100,1,,,,,,
56,0.171283633,20.24611282,0.033796571,29.42254543,0.954486668,,,,,,
57,0.168846935,19.98485947,0.032353226,29.80164766,0.953821242,,,,,,
58,0.171672761,20.39740181,0.03305741,29.61462259,0.953454792,,,,,,
59,0.171797693,20.09632111,0.033327989,29.54381704,0.957434773,,,,,,
60,0.172766939,21.39213371,0.033493571,29.50077057,0.961408675,,,,,,
61,0.179059684,22.35391426,0.033487879,29.50224638,0.956092536,,,,,,
62,0.182961732,22.95586777,0.0355189,28.99080992,0.946116507,,,,,,
63,0.179723382,21.94774246,0.035293654,29.04606819,0.939522624,,,,,,
64,0.176032886,21.62990189,0.033834498,29.41280365,0.9339149,,,,,,
65,0.170708269,21.26435471,0.033203188,29.57640409,0.930401027,,,,,,
66,0.169436157,20.94411087,0.034655616,29.20452833,0.929099441,,,,,,
67,0.171340853,21.21264458,0.035218399,29.06460762,0.92844522,,,,,,
68,0.172862977,21.78401184,0.035103403,29.09301519,0.925851703,,,,,,
69,0.168667078,20.76737595,0.034615487,29.2145896,0.92757237,,,,,,
70,0.177551851,21.92429924,0.036295008,28.80306244,0.917983174,,,,,,
71,0.185100481,21.90520477,0.036809243,28.680861,0.908307314,,,,,,
72,0.18654494,22.05909538,0.037503939,28.51846218,0.899272084,,,,,,
73,0.196036547,22.25510025,0.039673585,28.02997112,0.878308356,,,,,,
74,0.201650232,21.3189621,0.042049736,27.52473354,0.864165783,,,,,,
75,0.196968764,20.30666351,0.042460095,27.44038105,0.856244147,,,,,,
76,0.201869071,20.89465141,0.041808378,27.5747323,0.855111361,,,,,,
77,0.199704543,20.29985809,0.042186804,27.49646664,0.853571296,,,,,,
78,0.200393483,19.5921402,0.042650986,27.40141869,0.843271613,,,,,,
79,0.204384059,19.40972137,0.042617198,27.40830183,0.841388464,,,,,,
80,0.200957417,18.76421738,0.042423602,27.44784832,0.835819483,,,,,,
81,0.198874846,18.23334122,0.043676857,27.19497204,0.830466509,,,,,,
82,0.201513022,18.28035927,0.044570129,27.01912165,0.827358246,,,,,,
83,0.205519259,18.10847473,0.04507434,26.92141294,0.818830132,,,,,,
84,0.205753505,18.49321365,0.044464074,27.039814,0.820406556,,,,,,
85,0.200301483,17.57101822,0.043822333,27.16609001,0.820263147,,,,,,
86,0.20819436,19.08267212,0.044561774,27.02075005,0.818312526,,,,,,
87,0.202628762,17.7934761,0.043604877,27.20929861,0.824172258,,,,,,
88,0.204645127,18.28866959,0.043425299,27.24514246,0.818381131,,,,,,
