,PL,TML,RMSE,PSNR,SSIM,,,,,,
0,0.164953351,20.16995621,0.030810891,30.22591352,0.960432887,,0.1468,15.3261,0.0322,33.5436,0.9029
1,0.169641212,21.11587524,0.031152122,30.13024807,0.958627343,,0.0583,6.6683,0.012,7.5099,0.0631
2,0.161238998,20.09744263,0.03194879,29.91091013,0.957193315,,,,,,
3,0.16426824,20.54550362,0.03272691,29.70190048,0.957619905,,,,,,
4,0.158650666,20.07602692,0.031469729,30.04214048,0.96361506,,,,,,
5,0.17158027,20.60689163,0.032516316,29.75797415,0.959537446,,,,,,
6,0.175487131,20.8896904,0.034164898,29.32839632,0.952977538,,,,,,
7,0.176496938,21.0324173,0.034356929,29.27971363,0.946592808,,,,,,
8,0.171223342,20.3146019,0.033285167,29.55498457,0.940604329,,,,,,
9,0.180753231,21.06492996,0.033353198,29.53724861,0.931849957,,,,,,
10,0.187080115,22.15696335,0.037136987,28.6038661,0.913347065,,,,,,
11,0.196297914,23.2873497,0.039537877,28.05973291,0.901719034,,,,,,
12,0.19907409,23.25231171,0.040110011,27.93494463,0.892956972,,,,,,
13,0.210998654,24.02202034,0.041025106,27.73900509,0.881535292,,,,,,
14,0.205927998,21.7476387,0.040978421,27.74889469,0.8697474,,,,,,
15,0.202073961,20.46076584,0.04394412,27.14198351,0.854108691,,,,,,
16,0.208476275,21.16898346,0.044459116,27.04078436,0.836337864,,,,,,
17,0.197767764,17.99518967,0.044830225,26.96858168,0.820330083,,,,,,
18,0.188822776,17.11774063,0.043901287,27.15045452,0.817326725,,,,,,
19,0.196411431,17.30212784,0.045379139,26.86287403,0.803290129,,,,,,
20,0.190297425,16.9505024,0.044452451,27.04208612,0.795303583,,,,,,
21,0.192859948,16.98656845,0.045473069,26.84491396,0.791048467,,,,,,
22,0.191549659,16.90215492,0.04499808,26.93612099,0.792503953,,,,,,
23,0.192354932,16.48172569,0.045464095,26.84662819,0.792505562,,,,,,
24,0.199170381,16.93803024,0.04444262,27.04400778,0.793052614,,,,,,
25,0.189857632,15.65491104,0.044100877,27.11105585,0.795289278,,,,,,
26,0.191602319,15.88349056,0.044389442,27.0544076,0.793242216,,,,,,
27,0.182481617,15.21065331,0.045240048,26.88953876,0.791909516,,,,,,
28,0.178902447,14.46106815,0.043543912,27.22145081,0.797451138,,,,,,
29,0.180102333,14.96442509,0.043301027,27.27003574,0.795599699,,,,,,
30,0.171062887,14.07098579,0.042688258,27.39383221,0.802365839,,,,,,
31,0.168386877,13.84207726,0.042901516,27.35054731,0.805347443,,,,,,
32,0.165965527,13.58135223,0.041175481,27.70722628,0.808922589,,,,,,
33,0.15993759,12.98448086,0.041239377,27.69375801,0.808291435,,,,,,
34,0.154395059,12.90910625,0.040101331,27.93682337,0.816260755,,,,,,
35,0.15177089,12.82419968,0.040631626,27.82271624,0.821304142,,,,,,
36,0.146358535,12.14158249,0.038331233,28.32894325,0.834082365,,,,,,
37,0.138073415,11.40290737,0.038158666,28.36813688,0.841773152,,,,,,
38,0.141757324,12.00236511,0.03726574,28.5738039,0.854205251,,,,,,
39,0.136830971,11.43997097,0.036655381,28.71724606,0.863746703,,,,,,
40,0.123568073,10.42780399,0.033618715,29.46837664,0.880673885,,,,,,
41,0.11549817,9.423913002,0.032115225,29.86577988,0.894747257,,,,,,
42,0.112657413,9.538183212,0.031218478,30.11176348,0.905023515,,,,,,
43,0.110595055,9.858816147,0.029347751,30.6485033,0.91979605,,,,,,
44,0.096071631,8.122260094,0.02539517,31.90497637,0.936583817,,,,,,
