,PL,TML,RMSE,PSNR,SSIM,,,,,,
0,0.173390985,18.14876175,0.041216806,27.69851208,0.938217938,,0.1499,13.0983,0.0447,30.7714,0.8646
1,0.177203804,18.42520142,0.041455023,27.6484561,0.936423302,,0.0601,5.9125,0.017,7.0492,0.0853
2,0.171731621,18.37561798,0.041819561,27.57241011,0.93352586,,,,,,
3,0.16634053,17.77949715,0.042668417,27.39786863,0.936435342,,,,,,
4,0.16086334,17.59976006,0.040793743,27.78812885,0.944672644,,,,,,
5,0.171063453,17.8078804,0.041483533,27.6424861,0.94170773,,,,,,
6,0.177404493,18.24901199,0.043867745,27.15709448,0.932501495,,,,,,
7,0.179410309,19.07594872,0.044692386,26.99532986,0.925941408,,,,,,
8,0.171452731,18.55325699,0.043483842,27.23344088,0.916379094,,,,,,
9,0.19547227,20.59410667,0.045482811,26.84305429,0.901658297,,,,,,
10,0.187633276,19.1685524,0.05028506,25.97121954,0.879774213,,,,,,
11,0.199573457,20.86006165,0.054349247,25.2961278,0.862163901,,,,,,
12,0.205690339,20.56215286,0.054977629,25.19628048,0.849300742,,,,,,
13,0.206659213,19.51779747,0.056454971,24.96595621,0.832033575,,,,,,
14,0.198584765,17.65600204,0.05647146,24.96341944,0.819829345,,,,,,
15,0.204842448,16.87818718,0.06021503,24.40590143,0.80593282,,,,,,
16,0.211923227,16.9704628,0.060907248,24.30662155,0.778380156,,,,,,
17,0.203775048,15.51165199,0.062942095,24.02117491,0.754863977,,,,,,
18,0.194483221,14.028368,0.062065758,24.14295912,0.749983251,,,,,,
19,0.202846631,14.78788376,0.064665161,23.78659248,0.733068585,,,,,,
20,0.193207324,13.70210838,0.063296765,23.97237062,0.721031785,,,,,,
21,0.199866831,14.43226528,0.064645797,23.78919363,0.716024697,,,,,,
22,0.193070471,13.47451305,0.064292304,23.83682013,0.714341462,,,,,,
23,0.200889364,14.46076488,0.065679848,23.6513567,0.716614604,,,,,,
24,0.196279824,13.38000584,0.063993983,23.87721777,0.714565217,,,,,,
25,0.20144783,13.90902138,0.064457729,23.81449938,0.71581918,,,,,,
26,0.196851894,12.95009041,0.064584859,23.79738569,0.713049591,,,,,,
27,0.189522848,12.55299377,0.065445147,23.68245125,0.715286434,,,,,,
28,0.191845611,13.27503777,0.063320369,23.96913052,0.72141391,,,,,,
29,0.192385048,12.76342487,0.06372273,23.91411304,0.717446208,,,,,,
30,0.18320179,12.17579079,0.062321454,24.10724878,0.72868377,,,,,,
31,0.178773969,11.88465118,0.062386509,24.09818649,0.735179305,,,,,,
32,0.17723304,11.67578125,0.059698671,24.48070765,0.737523854,,,,,,
33,0.166719317,11.08204746,0.0595906,24.49644566,0.74378407,,,,,,
34,0.160504654,10.75850201,0.05841165,24.67000961,0.746818364,,,,,,
35,0.160690755,10.86196232,0.058530975,24.65228558,0.761051536,,,,,,
36,0.151012212,10.3955946,0.054976411,25.19647121,0.773833275,,,,,,
37,0.147934556,10.15626049,0.055091076,25.17837524,0.779640555,,,,,,
38,0.142600924,10.02849007,0.05287879,25.53436995,0.800406933,,,,,,
39,0.133980647,8.864931107,0.051242914,25.80732346,0.817116797,,,,,,
40,0.131980807,9.523061752,0.048082925,26.36018276,0.830399632,,,,,,
41,0.124279037,8.782430649,0.045175854,26.90187216,0.855062604,,,,,,
42,0.115222178,8.157865524,0.043719787,27.18643904,0.867812216,,,,,,
43,0.115887366,9.252575874,0.041169245,27.70854235,0.889028251,,,,,,
44,0.10069634,7.977345467,0.036260758,28.81126165,0.908070445,,,,,,
45,0.083092406,6.549766064,0.032145794,29.85751629,0.926866055,,,,,,
46,0.076827526,6.341116905,0.027052587,31.35582447,0.948083222,,,,,,
47,0.052181534,4.211090565,0.022024613,33.14183474,0.96826756,,,,,,
48,0.033353895,3.341632605,0.011193172,39.02093172,0.990388513,,,,,,
49,0.019691247,2.179385662,0.006660292,43.53012562,0.998271465,,,,,,
50,0.015345369,1.816967368,0.006239606,44.09684658,0.998997808,,,,,,
51,0.01120357,1.299481392,0.00549456,45.20132542,0.998795629,,,,,,
52,0.010353454,1.273808479,0.005572191,45.07946968,0.999033809,,,,,,
53,0,0,0,100,1,,,,,,
54,0,0,0,100,1,,,,,,
55,0,0,0,100,1,,,,,,
56,0.170125902,16.83306694,0.043073345,27.3158288,0.936092913,,,,,,
57,0.171831459,16.9358387,0.04073843,27.79991388,0.93762964,,,,,,
58,0.168530554,17.03282166,0.041420616,27.65566826,0.938495934,,,,,,
59,0.181593165,19.03087997,0.041435,27.65265465,0.942656338,,,,,,
60,0.170076638,18.77281189,0.041944984,27.54639864,0.947567642,,,,,,
61,0.173567086,19.12311363,0.041634269,27.61098146,0.941258371,,,,,,
62,0.180607989,19.4388752,0.045745719,26.79299116,0.924289823,,,,,,
63,0.187374815,19.87505722,0.045421757,26.85472012,0.915175438,,,,,,
64,0.172874019,17.86014748,0.04393401,27.14398384,0.90571332,,,,,,
65,0.167258024,17.94114494,0.042928327,27.34512091,0.905082881,,,,,,
66,0.170584649,18.69555473,0.045238998,26.88974142,0.902831912,,,,,,
67,0.172570318,19.00160217,0.045735899,26.79485559,0.901193738,,,,,,
68,0.172288939,19.12088966,0.045026165,26.93070173,0.90007025,,,,,,
69,0.173198193,18.96722412,0.045391191,26.86056852,0.9018839,,,,,,
70,0.171454251,18.23723793,0.048183501,26.34203434,0.889242172,,,,,,
71,0.178416193,18.43857002,0.04820852,26.33752346,0.877456963,,,,,,
72,0.185876638,18.91903305,0.049897946,26.03834629,0.861122727,,,,,,
73,0.189302161,18.27509308,0.051885363,25.69910288,0.838933825,,,,,,
74,0.200488836,18.00076675,0.055781465,25.07020235,0.818923414,,,,,,
75,0.201335728,17.74168205,0.056262024,24.99569178,0.810260594,,,,,,
76,0.206814706,18.33102036,0.055858862,25.05815744,0.807446122,,,,,,
77,0.203126386,17.47541046,0.056248829,24.99773026,0.804891884,,,,,,
78,0.201140255,15.88822842,0.05736199,24.82751608,0.794182301,,,,,,
79,0.203300148,15.95518398,0.057372563,24.82591391,0.788302004,,,,,,
80,0.203722954,15.26009941,0.05730797,24.8356986,0.783096969,,,,,,
81,0.199820623,14.68590164,0.058539703,24.65099096,0.777262092,,,,,,
82,0.198447764,14.31391621,0.060771823,24.32595491,0.769844949,,,,,,
83,0.206748247,15.08924675,0.060781952,24.32450771,0.762129784,,,,,,
84,0.203356713,14.06747055,0.059963059,24.44232464,0.761964381,,,,,,
85,0.200348318,13.9909811,0.060107797,24.42138433,0.759568751,,,,,,
86,0.203501314,14.34724426,0.060361117,24.38485384,0.761802554,,,,,,
87,0.199862689,13.80780411,0.059452165,24.51664686,0.763730049,,,,,,
88,0.203456953,13.86860275,0.059132602,24.56346035,0.761852324,,,,,,
89,0.194945902,13.56970024,0.057656661,24.78301048,0.766881764,,,,,,
90,0.193558067,14.05500221,0.057542905,24.8001647,0.768799305,,,,,,
91,0.184502319,13.02422333,0.056559831,24.94983912,0.771697938,,,,,,
92,0.182695925,12.83057404,0.055535577,25.10857344,0.778828979,,,,,,
93,0.17495048,12.21438599,0.054101754,25.33577204,0.789891183,,,,,,
94,0.178833321,12.72221184,0.054116473,25.33341169,0.797322392,,,,,,
95,0.172605634,12.30761719,0.052083399,25.66601276,0.808690488,,,,,,
96,0.165966541,11.77898788,0.050378378,25.95511675,0.818976343,,,,,,
97,0.16174832,11.91226578,0.047512151,26.46390676,0.839539587,,,,,,
98,0.155776635,11.5136013,0.048086278,26.35957718,0.84583962,,,,,,
99,0.142283946,10.56477356,0.045218751,26.89362764,0.863685131,,,,,,
100,0.134306818,10.43029594,0.042273331,27.47866869,0.880550504,,,,,,
101,0.125505403,10.11678791,0.039545786,28.05799484,0.897249579,,,,,,
102,0.10885781,8.690868378,0.03777222,28.45654964,0.908737183,,,,,,
103,0.093839906,8.126357079,0.032698341,29.70948458,0.929379642,,,,,,
104,0.076840833,6.56536293,0.028486146,30.90732574,0.94744885,,,,,,
105,0.058821101,4.959599018,0.023375941,32.62461662,0.962672532,,,,,,
106,0.042920168,3.702506065,0.018517401,34.64839935,0.977838635,,,,,,
107,0.028575044,2.800126553,0.012076372,38.36126804,0.992191136,,,,,,
108,0.014176904,1.62215066,0.006539646,43.68890285,0.999192476,,,,,,
109,0.010706734,1.442311525,0.005761872,44.78871346,0.999293387,,,,,,
110,0.007548022,1.126929998,0.005012656,45.99862576,0.999307871,,,,,,
111,0,0,0,100,1,,,,,,
112,0,0,0,100,1,,,,,,
113,0.169338971,16.76596451,0.042524263,27.42726326,0.936808527,,,,,,
114,0.1710127,16.90907288,0.040486258,27.85384655,0.938324332,,,,,,
115,0.170699924,17.3262825,0.041012987,27.74157047,0.937466383,,,,,,
116,0.175484911,18.61949158,0.041274633,27.68633604,0.944210172,,,,,,
117,0.173336774,18.76170349,0.041400619,27.65986204,0.948738635,,,,,,
118,0.174498469,19.18445396,0.041798111,27.57686615,0.94216013,,,,,,
119,0.183581293,19.94621849,0.045094538,26.91752195,0.9257195,,,,,,
120,0.184159487,19.52942848,0.045852665,26.77270889,0.913758874,,,,,,
121,0.175027385,18.15723991,0.044134114,27.10451126,0.904126585,,,,,,
122,0.168704286,18.15172577,0.042594288,27.41297245,0.906206787,,,,,,
123,0.164703742,17.9084549,0.044774994,26.97928905,0.904212236,,,,,,
124,0.172045767,18.95368576,0.044743408,26.9854188,0.904196024,,,,,,
125,0.174827501,19.19966888,0.045613062,26.81821585,0.90096426,,,,,,
126,0.166785419,18.04580116,0.045132749,26.91016436,0.899881124,,,,,,
127,0.174679756,18.21640968,0.048021849,26.37122154,0.888105512,,,,,,
128,0.185000479,19.42472839,0.04804264,26.36746407,0.879486144,,,,,,
129,0.186720431,18.9076786,0.050215125,25.98330975,0.85869664,,,,,,
130,0.186699092,17.45536804,0.052096486,25.66383123,0.838911653,,,,,,
131,0.198150367,17.74615097,0.055029936,25.18801928,0.821873486,,,,,,
132,0.20420377,18.06993103,0.055928249,25.04737616,0.809946477,,,,,,
133,0.205335379,17.95877457,0.055742718,25.07623672,0.805396557,,,,,,
134,0.202275574,17.18609047,0.056309585,24.98835325,0.806449175,,,,,,
135,0.205009311,16.75604057,0.057363704,24.8272562,0.795979381,,,,,,
136,0.207387507,15.97581387,0.058139045,24.71064091,0.786121488,,,,,,
137,0.206239343,16.0056839,0.057953276,24.73844051,0.781230211,,,,,,
138,0.196233332,14.3620348,0.058295734,24.68726397,0.778928459,,,,,,
139,0.202888161,14.78234482,0.061398026,24.23691273,0.766626596,,,,,,
140,0.205171734,15.13033009,0.061069019,24.28358078,0.761465132,,,,,,
141,0.199556813,13.69919014,0.060402051,24.37896729,0.759588063,,,,,,
142,0.199039295,13.71180916,0.059236605,24.54819679,0.765513778,,,,,,
143,0.205750152,14.22400379,0.060154669,24.41461325,0.76310724,,,,,,
144,0.199813753,13.95839024,0.05953731,24.50421572,0.766021967,,,,,,
145,0.201027304,13.77328587,0.058816399,24.61003065,0.763088405,,,,,,
146,0.195880383,13.80725479,0.058178615,24.70473289,0.763107479,,,,,,
147,0.195924744,14.07119274,0.058165111,24.70674992,0.764692128,,,,,,
148,0.183219552,12.83044529,0.055906292,25.05078554,0.771759868,,,,,,
149,0.184522688,13.57431602,0.05541062,25.12814045,0.778274655,,,,,,
150,0.172339141,11.66166306,0.054328475,25.29944897,0.786575556,,,,,,
151,0.178568393,12.5995121,0.054329559,25.29927731,0.794666111,,,,,,
152,0.16910699,12.02930832,0.051702637,25.72974682,0.808308959,,,,,,
153,0.16866748,12.07237434,0.050053336,26.01133823,0.821927905,,,,,,
154,0.163144618,12.29375267,0.048377715,26.30709171,0.833891094,,,,,,
155,0.156897053,12.00533867,0.048185818,26.34161472,0.847129822,,,,,,
156,0.140961856,10.35102272,0.045333695,26.87157869,0.86381495,,,,,,
157,0.131001234,10.14363289,0.042766638,27.37789631,0.878491819,,,,,,
158,0.123246051,9.799015045,0.039950348,27.96958923,0.893914342,,,,,,
159,0.107226834,8.502145767,0.038007986,28.40250254,0.908555508,,,,,,
160,0.091512568,7.674085617,0.03276227,29.69251871,0.929613888,,,,,,
161,0.079652876,7.002306938,0.027865268,31.09873533,0.949472785,,,,,,
162,0.06321995,5.616345406,0.023331577,32.64111757,0.964023888,,,,,,
163,0.046013556,3.825382233,0.0187435,34.54298496,0.976602316,,,,,,
164,0.026178565,2.591972589,0.011807322,38.55696917,0.992595792,,,,,,
165,0.013158213,1.423762679,0.006178723,44.18201447,0.999265492,,,,,,
166,0.010943528,1.46762085,0.005811236,44.71461773,0.999275088,,,,,,
167,0.007514352,1.105905414,0.005518956,45.16284466,0.999174356,,,,,,
168,0,0,0,100,1,,,,,,
